dataset,rep,pair,rho_eqsig,rho_eqdam,delta
ChEMBL-hERG-Ki,ECFP4,hetero|legacy,0.9300699300699302,1.0,0.06993006993006978
ChEMBL-hERG-Ki,ECFP4,hetero|outlier,0.7832167832167832,0.9510489510489512,0.16783216783216792
ChEMBL-hERG-Ki,ECFP4,hetero|quantile,0.7902097902097903,0.9160839160839163,0.12587412587412594
ChEMBL-hERG-Ki,ECFP4,hetero|threshold,0.5034965034965035,0.7692307692307694,0.26573426573426584
ChEMBL-hERG-Ki,ECFP4,hetero|valprop,0.6083916083916086,0.8041958041958043,0.19580419580419572
ChEMBL-hERG-Ki,ECFP4,legacy|outlier,0.8181818181818183,0.9510489510489512,0.1328671328671328
ChEMBL-hERG-Ki,ECFP4,legacy|quantile,0.8671328671328673,0.9160839160839163,0.04895104895104896
ChEMBL-hERG-Ki,ECFP4,legacy|threshold,0.7342657342657343,0.7692307692307694,0.03496503496503511
ChEMBL-hERG-Ki,ECFP4,legacy|valprop,0.8041958041958043,0.8041958041958043,0.0
ChEMBL-hERG-Ki,ECFP4,outlier|quantile,0.9090909090909092,0.9370629370629372,0.027972027972028024
ChEMBL-hERG-Ki,ECFP4,outlier|threshold,0.41958041958041964,0.7062937062937064,0.2867132867132867
ChEMBL-hERG-Ki,ECFP4,outlier|valprop,0.4825174825174825,0.7482517482517484,0.26573426573426595
ChEMBL-hERG-Ki,ECFP4,quantile|threshold,0.5804195804195805,0.6573426573426573,0.07692307692307676
ChEMBL-hERG-Ki,ECFP4,quantile|valprop,0.6433566433566434,0.7482517482517484,0.104895104895105
ChEMBL-hERG-Ki,ECFP4,threshold|valprop,0.9510489510489512,0.9790209790209792,0.027972027972028024
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero|legacy,0.9720279720279721,0.9510489510489512,-0.020979020979020935
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero|outlier,0.9300699300699302,0.9230769230769231,-0.006993006993007089
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero|quantile,0.9860139860139862,0.9160839160839163,-0.0699300699300699
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero|threshold,0.8671328671328673,0.9510489510489512,0.08391608391608385
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero|valprop,0.8881118881118882,0.9230769230769231,0.03496503496503489
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy|outlier,0.8741258741258742,0.9580419580419581,0.08391608391608396
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy|quantile,0.9720279720279721,0.9860139860139862,0.013986013986014068
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy|threshold,0.8951048951048951,0.9580419580419581,0.06293706293706303
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy|valprop,0.8601398601398602,0.9580419580419581,0.09790209790209792
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier|quantile,0.9090909090909092,0.9370629370629372,0.027972027972028024
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier|threshold,0.7202797202797203,0.9160839160839163,0.19580419580419595
ChEMBL-hERG-Ki,MHG-GNN-pretrained,outlier|valprop,0.7622377622377624,0.9510489510489512,0.18881118881118875
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile|threshold,0.8531468531468532,0.9230769230769231,0.0699300699300699
ChEMBL-hERG-Ki,MHG-GNN-pretrained,quantile|valprop,0.8601398601398602,0.9230769230769231,0.06293706293706292
ChEMBL-hERG-Ki,MHG-GNN-pretrained,threshold|valprop,0.9440559440559443,0.965034965034965,0.020979020979020713
ChEMBL-hERG-Ki,PDV,hetero|legacy,0.9725274725274725,0.7747252747252747,-0.19780219780219777
ChEMBL-hERG-Ki,PDV,hetero|outlier,0.9835164835164836,0.8736263736263737,-0.10989010989010983
ChEMBL-hERG-Ki,PDV,hetero|quantile,0.9725274725274725,0.967032967032967,-0.005494505494505475
ChEMBL-hERG-Ki,PDV,hetero|threshold,0.8791208791208791,0.8131868131868131,-0.06593406593406603
ChEMBL-hERG-Ki,PDV,hetero|valprop,0.8571428571428571,0.9120879120879121,0.05494505494505497
ChEMBL-hERG-Ki,PDV,legacy|outlier,0.9780219780219779,0.9340659340659341,-0.0439560439560438
ChEMBL-hERG-Ki,PDV,legacy|quantile,0.945054945054945,0.8626373626373626,-0.08241758241758246
ChEMBL-hERG-Ki,PDV,legacy|threshold,0.8241758241758241,0.9560439560439561,0.13186813186813195
ChEMBL-hERG-Ki,PDV,legacy|valprop,0.8736263736263737,0.8626373626373626,-0.010989010989011172
ChEMBL-hERG-Ki,PDV,outlier|quantile,0.967032967032967,0.9065934065934067,-0.060439560439560336
ChEMBL-hERG-Ki,PDV,outlier|threshold,0.8461538461538461,0.9230769230769231,0.07692307692307698
ChEMBL-hERG-Ki,PDV,outlier|valprop,0.8131868131868131,0.8901098901098902,0.0769230769230771
ChEMBL-hERG-Ki,PDV,quantile|threshold,0.8791208791208791,0.8791208791208791,0.0
ChEMBL-hERG-Ki,PDV,quantile|valprop,0.8406593406593407,0.945054945054945,0.10439560439560436
ChEMBL-hERG-Ki,PDV,threshold|valprop,0.7747252747252747,0.9230769230769231,0.14835164835164838
ChEMBL-hERG-Ki,SNS,hetero|legacy,0.8601398601398602,0.7342657342657343,-0.12587412587412594
ChEMBL-hERG-Ki,SNS,hetero|outlier,0.9090909090909092,0.7972027972027973,-0.11188811188811187
ChEMBL-hERG-Ki,SNS,hetero|quantile,0.6853146853146854,0.7692307692307694,0.08391608391608396
ChEMBL-hERG-Ki,SNS,hetero|threshold,0.09090909090909093,0.7832167832167832,0.6923076923076923
ChEMBL-hERG-Ki,SNS,hetero|valprop,0.2797202797202798,0.7412587412587414,0.46153846153846156
ChEMBL-hERG-Ki,SNS,legacy|outlier,0.7762237762237763,0.7622377622377624,-0.013986013986013845
ChEMBL-hERG-Ki,SNS,legacy|quantile,0.7692307692307694,0.6783216783216784,-0.09090909090909094
ChEMBL-hERG-Ki,SNS,legacy|threshold,0.5314685314685316,0.44755244755244755,-0.08391608391608402
ChEMBL-hERG-Ki,SNS,legacy|valprop,0.6923076923076924,0.4545454545454546,-0.23776223776223782
ChEMBL-hERG-Ki,SNS,outlier|quantile,0.8321678321678322,0.8741258741258742,0.04195804195804198
ChEMBL-hERG-Ki,SNS,outlier|threshold,0.1398601398601399,0.43356643356643365,0.29370629370629375
ChEMBL-hERG-Ki,SNS,outlier|valprop,0.2377622377622378,0.3846153846153847,0.1468531468531469
ChEMBL-hERG-Ki,SNS,quantile|threshold,0.4895104895104896,0.5244755244755246,0.034965034965035
ChEMBL-hERG-Ki,SNS,quantile|valprop,0.5104895104895105,0.5104895104895105,0.0
ChEMBL-hERG-Ki,SNS,threshold|valprop,0.9230769230769231,0.9510489510489512,0.027972027972028024
OpenADMET-Caco2_Efflux,ECFP4,hetero|legacy,-0.006993006993006993,0.7132867132867133,0.7202797202797203
