dataset,rep,strategy,sigma,mean_r2,between_sd,range,within_sd,snr,F
ChEMBL-hERG-Ki,ECFP4,hetero,0.0,0.40730838628840915,0.13774959904192724,0.4946054009480012,0.07580656488717093,1.8171196550978292,16.509619204714266
ChEMBL-hERG-Ki,ECFP4,hetero,0.1,0.40543465808541174,0.13587835994758451,0.49921584113845197,0.07147018320658065,1.901189473025913,18.072607061722742
ChEMBL-hERG-Ki,ECFP4,hetero,0.2,0.4097024468133364,0.13128243576236437,0.4763492275533545,0.07114476333164346,1.8452860001851061,17.02540211239574
ChEMBL-hERG-Ki,ECFP4,hetero,0.3,0.3994755747684778,0.12452888063875941,0.4557288901099148,0.08079750013644522,1.5412467022923193,11.877206986634743
ChEMBL-hERG-Ki,ECFP4,hetero,0.4,0.3870679965166592,0.12339995326132538,0.4623549942693293,0.08162741083489974,1.511746507688638,11.426887517543967
ChEMBL-hERG-Ki,ECFP4,hetero,0.5,0.3856507588446119,0.12558929827308765,0.45002215183755,0.08179316332985866,1.5354498244138846,11.788030816463143
ChEMBL-hERG-Ki,ECFP4,hetero,0.6,0.37063730593646105,0.13415337936764793,0.4715034940697488,0.08635974658264822,1.553424884581616,12.065644360187036
ChEMBL-hERG-Ki,ECFP4,hetero,0.7,0.36352006273891113,0.12381631527167523,0.4671448184969578,0.08449159643465727,1.4654275750065897,10.737389887948472
ChEMBL-hERG-Ki,ECFP4,hetero,0.8,0.35554684011123905,0.11199223666657522,0.42826397688392237,0.08117808912853881,1.3795870027101125,9.516301490233358
ChEMBL-hERG-Ki,ECFP4,hetero,0.9,0.32410014641115925,0.1156874286404609,0.4329734739650975,0.08385566432216791,1.3796018381775315,9.516506159514119
ChEMBL-hERG-Ki,ECFP4,hetero,1.0,0.33447264124818354,0.11530443080618363,0.4295312311353016,0.08031133904091718,1.4357179469693326,10.306430116249178
ChEMBL-hERG-Ki,ECFP4,legacy,0.0,0.410729789649766,0.13395232629699597,0.4779102896763897,0.0752577395852139,1.7799142923409563,15.840474440398037
