dataset,rep,strategy,model,fold,clean,r2_06,ret_06,auc_norm
ChEMBL-hERG-Ki,ECFP4,hetero,DNN,0,0.4686427553834192,0.4400947905657233,0.9390837381144632,0.9262378709689315
ChEMBL-hERG-Ki,ECFP4,hetero,DNN,1,0.5326687782161845,0.466522973655417,0.8758218854458143,0.9414924364456454
ChEMBL-hERG-Ki,ECFP4,hetero,DNN,2,0.4824862717083995,0.3334716651633114,0.6911526497583995,0.8553448825992677
ChEMBL-hERG-Ki,ECFP4,hetero,DNN,3,0.4853609184654952,0.4208317379750891,0.8670490803123995,0.8945800116743833
ChEMBL-hERG-Ki,ECFP4,hetero,DNN,4,0.4171155242844977,0.4231737694567015,1.0145241421608457,1.0381493207468417
ChEMBL-hERG-Ki,ECFP4,hetero,LightGBM,0,0.5742297238352045,0.5513040544598654,0.9600757877488096,0.9105003278301124
ChEMBL-hERG-Ki,ECFP4,hetero,LightGBM,1,0.554693890104673,0.5185669550411305,0.9348705011754769,0.9054493789533378
ChEMBL-hERG-Ki,ECFP4,hetero,LightGBM,2,0.4604136466918566,0.4149606222787371,0.901277851471809,0.85251908220969
ChEMBL-hERG-Ki,ECFP4,hetero,LightGBM,3,0.5172261185489508,0.4983733361024206,0.9635502118504367,0.919934008267123
ChEMBL-hERG-Ki,ECFP4,hetero,LightGBM,4,0.4262691680215326,0.4169002637620604,0.9780211543261348,0.9448503918695108
ChEMBL-hERG-Ki,ECFP4,hetero,MLP,0,0.4739769200741688,0.4164941730869529,0.878722476659368,0.8589049072252314
ChEMBL-hERG-Ki,ECFP4,hetero,MLP,1,0.458676221210495,0.5017957502931256,1.0940086428915665,1.04632684494046
ChEMBL-hERG-Ki,ECFP4,hetero,MLP,2,0.5056679810585385,0.3776698560305958,0.7468731859193493,0.8231511164986576
ChEMBL-hERG-Ki,ECFP4,hetero,MLP,3,0.4591963716188092,0.3054237872145307,0.6651267433534315,0.9151577330500614
ChEMBL-hERG-Ki,ECFP4,hetero,MLP,4,0.459511261664953,0.4495243477711305,0.9782662260384287,0.891530430742077
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-BNN-Full,0,0.1812592688708344,0.2626824739215347,1.4492085042488094,1.6998386840255537
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-BNN-Full,1,0.2872106402790724,0.4258403618655767,1.4826761343235848,1.0689050257899217
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-BNN-Full,2,0.3719194469484541,0.0855253621236019,0.2299566823550779,0.7950398571346835
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-BNN-Full,3,0.3729731214636896,0.0695262549381701,0.1864108991696839,0.8158824437287776
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-BNN-Full,4,0.2192588637373388,0.1919735296671392,0.8755565289123907,0.9829059568245987
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-VBLL-Full,0,0.4488826020619676,0.3875808811159805,0.8634348476318882,0.9320472424888621
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-VBLL-Full,1,0.5073654435599886,0.4900393317758613,0.9658508240873548,0.9095752230697886
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-VBLL-Full,2,0.4367451965180362,0.4127832165831306,0.9451351036578234,0.9895496648055702
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-VBLL-Full,3,0.5039336996096919,0.4611679532637838,0.915136164977593,0.8454868455902174
ChEMBL-hERG-Ki,ECFP4,hetero,MLP-VBLL-Full,4,0.4103365129376558,0.4412627023069477,1.0753678709893182,0.965574176263494
ChEMBL-hERG-Ki,ECFP4,hetero,NGBoost,0,0.5470601920811069,0.5338884843738843,0.9759227450692121,0.9629257197076261
ChEMBL-hERG-Ki,ECFP4,hetero,NGBoost,1,0.4593403861588393,0.4145446527663766,0.9024781300702516,0.9387459027289047
ChEMBL-hERG-Ki,ECFP4,hetero,NGBoost,2,0.5357068384099,0.4999778598395272,0.933304979498816,0.9438520224891879
ChEMBL-hERG-Ki,ECFP4,hetero,NGBoost,3,0.2694902562806646,0.2614790295394287,0.9702726664340232,0.9211313547656069
ChEMBL-hERG-Ki,ECFP4,hetero,NGBoost,4,0.5133949648003793,0.5065015489615035,0.9865728799238299,0.9185421581201819
ChEMBL-hERG-Ki,ECFP4,hetero,QRF,0,0.5720192380313487,0.544607160614665,0.95207839947652,0.9479661358212884
ChEMBL-hERG-Ki,ECFP4,hetero,QRF,1,0.3047532527882415,0.2355188471271604,0.772818156893673,0.8565503055624589
ChEMBL-hERG-Ki,ECFP4,hetero,QRF,2,0.3653512996157202,0.3198699270158404,0.8755133137675505,0.920894344083911
ChEMBL-hERG-Ki,ECFP4,hetero,QRF,3,0.4100688562306299,0.4420432473735304,1.0779732248793787,0.9752509510872656
ChEMBL-hERG-Ki,ECFP4,hetero,QRF,4,0.4464681304611452,0.3985030108829855,0.8925676519651744,0.9423707041039064
ChEMBL-hERG-Ki,ECFP4,hetero,RF,0,0.5405050518331075,0.5232808267344015,0.9681330913739093,0.964872229012803
ChEMBL-hERG-Ki,ECFP4,hetero,RF,1,0.6334199784574035,0.6070637264454681,0.9583905577526589,0.9596767727671752
ChEMBL-hERG-Ki,ECFP4,hetero,RF,2,0.4430771939926793,0.3954090164485816,0.8924156372966349,0.9252441227109587
ChEMBL-hERG-Ki,ECFP4,hetero,RF,3,0.3213722541991943,0.3242651614686814,1.0090017331355992,0.9659205925437302
ChEMBL-hERG-Ki,ECFP4,hetero,RF,4,0.5407348085485093,0.530604947622473,0.9812664900319108,0.9753643355051255
ChEMBL-hERG-Ki,ECFP4,hetero,SVM,0,0.4668031244105708,0.4448493220358593,0.9529698898171849,0.9634955921187682
ChEMBL-hERG-Ki,ECFP4,hetero,SVM,1,0.4145140243301969,0.4157950224374276,1.0030903613196216,0.951296617760843
ChEMBL-hERG-Ki,ECFP4,hetero,SVM,2,0.4529293121664984,0.4419650439950746,0.9757925400787633,0.9664955208986292
ChEMBL-hERG-Ki,ECFP4,hetero,SVM,3,0.5081311827195462,0.5048483969555677,0.9935394916202371,0.9619536303402579
ChEMBL-hERG-Ki,ECFP4,hetero,SVM,4,0.3197080478240159,0.3208763556215569,1.0036542958661587,0.9545787606966595
ChEMBL-hERG-Ki,ECFP4,hetero,VBLL-Full,0,0.4259505419756121,0.4265772858304906,1.0014714005339014,0.8963071178836237
ChEMBL-hERG-Ki,ECFP4,hetero,VBLL-Full,1,0.3986235476747579,0.3579108296318456,0.8978667510226207,0.9689606805433804
ChEMBL-hERG-Ki,ECFP4,hetero,VBLL-Full,2,0.3903536429870278,0.3697621314527156,0.9472490857860484,0.940041837307863
ChEMBL-hERG-Ki,ECFP4,hetero,VBLL-Full,3,0.3930728380531805,0.3808943709533334,0.9690172763903889,0.8758226188053946
ChEMBL-hERG-Ki,ECFP4,hetero,VBLL-Full,4,0.3442655388014163,0.35978055632115,1.0450670072112076,0.9373063668993498
ChEMBL-hERG-Ki,ECFP4,hetero,XGBoost,0,0.5359386349074506,0.4811642226639095,0.8977972314815484,0.8997658543680161
ChEMBL-hERG-Ki,ECFP4,hetero,XGBoost,1,0.5521546954463339,0.407188260362638,0.7374532241068559,0.7992804407812741
ChEMBL-hERG-Ki,ECFP4,hetero,XGBoost,2,0.3283789358310566,0.233349070402057,0.7106091315251406,0.8006460978665964
ChEMBL-hERG-Ki,ECFP4,hetero,XGBoost,3,0.4129270314990435,0.3096838270402725,0.7499722794025652,0.7309362806602029
ChEMBL-hERG-Ki,ECFP4,hetero,XGBoost,4,0.5161634874528556,0.4399583015552724,0.8523623081639546,0.8664567966994485
ChEMBL-hERG-Ki,ECFP4,legacy,DNN,0,0.4067005050948892,0.4592195725176624,1.1291345025758444,1.0060960918969641
ChEMBL-hERG-Ki,ECFP4,legacy,DNN,1,0.5296229458868336,0.3905681399677587,0.7374456545000465,0.8613662791209864
ChEMBL-hERG-Ki,ECFP4,legacy,DNN,2,0.5421999546032952,0.3053169287479872,0.563107625066798,0.7237897472312405
ChEMBL-hERG-Ki,ECFP4,legacy,DNN,3,0.4507648125103277,0.367114739908535,0.8144263476646679,0.8612834465548431
ChEMBL-hERG-Ki,ECFP4,legacy,DNN,4,0.4920509794310324,0.4203805953986755,0.8543435801809994,0.7851007676124978
ChEMBL-hERG-Ki,ECFP4,legacy,LightGBM,0,0.5742297238352045,0.4893798475186116,0.8522370528820907,0.7850983470861477
ChEMBL-hERG-Ki,ECFP4,legacy,LightGBM,1,0.554693890104673,0.4357570671754558,0.7855811555689332,0.7876923531517152
ChEMBL-hERG-Ki,ECFP4,legacy,LightGBM,2,0.4604136466918566,0.3617467798312618,0.7856995170114276,0.6926489741824275
ChEMBL-hERG-Ki,ECFP4,legacy,LightGBM,3,0.5172261185489508,0.4520328865824941,0.8739560327128244,0.7906947199085499
ChEMBL-hERG-Ki,ECFP4,legacy,LightGBM,4,0.4262691680215326,0.3442319165316854,0.807545894368548,0.7741423189872546
ChEMBL-hERG-Ki,ECFP4,legacy,MLP,0,0.4604420245153667,0.3994965182777124,0.8676369597197349,0.8601535946484027
ChEMBL-hERG-Ki,ECFP4,legacy,MLP,1,0.4995704575265897,0.3935931609941786,0.7878631633721648,0.8577033351499666
ChEMBL-hERG-Ki,ECFP4,legacy,MLP,2,0.465235407216452,0.2628671092304285,0.5650195689171372,0.8276103944285726
ChEMBL-hERG-Ki,ECFP4,legacy,MLP,3,0.3997117082322964,0.3882125861745311,0.9712314605228364,0.970352510263565
ChEMBL-hERG-Ki,ECFP4,legacy,MLP,4,0.4791016184064547,0.4477682330805907,0.9345997088674375,0.8226173845902871
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-BNN-Full,0,0.307481640484584,0.4534019472309816,1.4745659172249457,1.029291214727822
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-BNN-Full,1,0.3658272592595059,0.2496067013436211,0.6823075509705477,0.6800924169306284
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-BNN-Full,2,0.1799667012093461,0.1689252696080381,0.9386473635005175,1.1519725625898043
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-BNN-Full,3,0.3382691680033788,0.2011923312964008,0.5947699356814902,0.6926939387407318
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-BNN-Full,4,0.2422109859298427,0.2904721413730238,1.1992525452877687,1.0216786433244676
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-VBLL-Full,0,0.4641357276246608,0.3424844337116983,0.7378971566452217,0.8182536247308244
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-VBLL-Full,1,0.5154095236176619,0.4353482132412785,0.844664666235826,0.8205743331793784
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-VBLL-Full,2,0.4836822979165662,0.3201234089742401,0.6618464441497102,0.7623290393373667
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-VBLL-Full,3,0.4859409298414296,0.3724045168999973,0.7663575838765402,0.7179135508047972
ChEMBL-hERG-Ki,ECFP4,legacy,MLP-VBLL-Full,4,0.4368306629441824,0.381677363148409,0.8737421511941327,0.8109263264842164
ChEMBL-hERG-Ki,ECFP4,legacy,NGBoost,0,0.5507939767357175,0.5138827411627737,0.9329854044670234,0.9167173294692182
ChEMBL-hERG-Ki,ECFP4,legacy,NGBoost,1,0.4611664481400613,0.3804471242682353,0.8249670499721379,0.8864147785834865
ChEMBL-hERG-Ki,ECFP4,legacy,NGBoost,2,0.53584055942025,0.4691579269585565,0.8755550857631225,0.890870743991715
ChEMBL-hERG-Ki,ECFP4,legacy,NGBoost,3,0.2752731408092157,0.2660449642377032,0.9664762913505305,0.8438758172310815
ChEMBL-hERG-Ki,ECFP4,legacy,NGBoost,4,0.5131345906515077,0.4937552848373907,0.9622334838321622,0.871201691075676
ChEMBL-hERG-Ki,ECFP4,legacy,QRF,0,0.5720192380313487,0.4883110939958275,0.8536620126210971,0.856395892933796
