dataset,rep,strategy,sigma,W,meanSpear,snr_clip,mean_r2c
ChEMBL-hERG-Ki,ECFP4,hetero,0.0,0.5362237762237763,0.42027972027972027,1.8171196550978292,0.4073083862884092
ChEMBL-hERG-Ki,ECFP4,hetero,0.1,0.5591608391608391,0.448951048951049,1.901189473025913,0.40543465808541174
ChEMBL-hERG-Ki,ECFP4,hetero,0.2,0.5591608391608391,0.4489510489510491,1.8452860001851057,0.4097024468133364
ChEMBL-hERG-Ki,ECFP4,hetero,0.3,0.44727272727272727,0.30909090909090914,1.5412467022923189,0.3994755747684778
ChEMBL-hERG-Ki,ECFP4,hetero,0.4,0.42265734265734267,0.27832167832167837,1.511746507688638,0.3870679965166592
ChEMBL-hERG-Ki,ECFP4,hetero,0.5,0.47804195804195804,0.3475524475524476,1.5354498244138846,0.3856507588446119
ChEMBL-hERG-Ki,ECFP4,hetero,0.6,0.5138461538461538,0.39230769230769236,1.5534248845816159,0.3706373059364611
ChEMBL-hERG-Ki,ECFP4,hetero,0.7,0.5093706293706294,0.38671328671328664,1.4654275750065895,0.3635200627389112
ChEMBL-hERG-Ki,ECFP4,hetero,0.8,0.4942657342657343,0.3678321678321678,1.3795870027101127,0.3555468401112391
ChEMBL-hERG-Ki,ECFP4,hetero,0.9,0.5015384615384615,0.37692307692307697,1.3796018381775315,0.3241001464111592
ChEMBL-hERG-Ki,ECFP4,hetero,1.0,0.43832167832167834,0.29790209790209793,1.4357179469693326,0.3344726412481835
ChEMBL-hERG-Ki,ECFP4,legacy,0.0,0.5110489510489511,0.3888111888111889,1.7799142923409565,0.41072978964976603
ChEMBL-hERG-Ki,ECFP4,legacy,0.1,0.553006993006993,0.44125874125874126,1.9006486746165832,0.40579984258773105
ChEMBL-hERG-Ki,ECFP4,legacy,0.2,0.5412587412587413,0.4265734265734267,1.7343197740685288,0.39748690712133283
ChEMBL-hERG-Ki,ECFP4,legacy,0.3,0.42433566433566433,0.2804195804195804,1.4583966649695939,0.38810342392210306
ChEMBL-hERG-Ki,ECFP4,legacy,0.4,0.5048951048951049,0.38111888111888115,1.3909029001328483,0.35925468302108826
ChEMBL-hERG-Ki,ECFP4,legacy,0.5,0.5155244755244756,0.3944055944055945,1.3710971098661953,0.3534746785493079
ChEMBL-hERG-Ki,ECFP4,legacy,0.6,0.5479720279720279,0.434965034965035,1.3685391221778416,0.33867383832588105
ChEMBL-hERG-Ki,ECFP4,legacy,0.7,0.47692307692307695,0.34615384615384615,1.181934721707088,0.30084015149494936
ChEMBL-hERG-Ki,ECFP4,legacy,0.8,0.5104895104895105,0.3881118881118881,1.2035307874831518,0.2805205211622913
ChEMBL-hERG-Ki,ECFP4,legacy,0.9,0.6430769230769231,0.5538461538461539,1.2497251309818842,0.23071899851343233
ChEMBL-hERG-Ki,ECFP4,legacy,1.0,0.6302097902097902,0.5377622377622377,1.3670618276965851,0.22820189946248348
ChEMBL-hERG-Ki,ECFP4,outlier,0.0,0.5278321678321678,0.4097902097902099,1.7005374926078376,0.4071039737068362
ChEMBL-hERG-Ki,ECFP4,outlier,0.1,0.539020979020979,0.4237762237762238,1.8633115065759693,0.40536411106748643
ChEMBL-hERG-Ki,ECFP4,outlier,0.2,0.5524475524475524,0.4405594405594406,1.772369489431599,0.39122481508838697
ChEMBL-hERG-Ki,ECFP4,outlier,0.3,0.514965034965035,0.39370629370629373,1.7636454042542595,0.39779331756844344
ChEMBL-hERG-Ki,ECFP4,outlier,0.4,0.5485314685314685,0.43566433566433566,1.7646143891100854,0.38647362413695124
ChEMBL-hERG-Ki,ECFP4,outlier,0.5,0.5507692307692308,0.4384615384615385,1.545234358585591,0.3886048371538334
ChEMBL-hERG-Ki,ECFP4,outlier,0.6,0.544055944055944,0.43006993006993016,1.3916379419851541,0.35422948185835057
ChEMBL-hERG-Ki,ECFP4,outlier,0.7,0.6234965034965035,0.5293706293706295,1.5559764472550555,0.34935975303196687
ChEMBL-hERG-Ki,ECFP4,outlier,0.8,0.36391608391608393,0.20489510489510493,0.7216595128643657,0.3031614386966038
ChEMBL-hERG-Ki,ECFP4,outlier,0.9,0.6744055944055944,0.5930069930069931,1.3591917094682082,0.287751411558068
ChEMBL-hERG-Ki,ECFP4,outlier,1.0,0.6151048951048951,0.518881118881119,1.0334587667099686,0.2685385479335937
ChEMBL-hERG-Ki,ECFP4,quantile,0.0,0.5356643356643357,0.4195804195804197,1.7613258891110999,0.40402544175088645
ChEMBL-hERG-Ki,ECFP4,quantile,0.1,0.5446153846153846,0.43076923076923085,1.8824957682751255,0.4038120184203935
ChEMBL-hERG-Ki,ECFP4,quantile,0.2,0.5351048951048951,0.418881118881119,1.6479853097760977,0.40257896749519123
