Strategy,Rep,Model,Unc-Error ρ,Unc-Noise ρ (pooled),ECE,Coverage 1σ,Coverage 2σ,Mean Uncertainty,Mean Aleatoric,Mean Epistemic,Unc-Noise ρ σ=0.0,Unc-Noise n σ=0.0,Unc-Noise ρ σ=0.3,Unc-Noise n σ=0.3,Unc-Noise ρ σ=0.6,Unc-Noise n σ=0.6
Quantile,sns,QRF,0.26605836920089093,0.0976237016849782,0.11882074779497406,0.6997300269973002,0.9135086491350864,0.5214154712009117,0.5216762832613362,,0.256931417813028,1000,0.0991285038866722,1000,0.12235101369207474,1000
Quantile,sns,NGBoost,0.14078485070506147,0.4132541168789408,0.141899926088837,0.7221111111111111,0.9528888888888889,0.6400724323112128,0.6400724323112128,,-0.002466862299102919,1000,0.08862481260928737,1000,,0
Quantile,sns,GP,0.09417764045808345,0.41788876237683686,0.17122143968529133,0.7792727272727272,0.9476363636363636,0.5641959382407039,0.6490281760783421,0.5641959382407039,-0.07043303159904986,1000,-0.024019284523689507,1000,-0.024263964773508038,1000
Quantile,sns,BNN-β,0.16024287959111055,0.32911959044495676,0.22789101675767864,0.7834909090909091,0.9401272727272727,0.6397937340975361,,,0.05123441398930177,10000,0.06629474306827268,10000,0.12236717736063465,10000
Quantile,sns,BNN-α,0.1555937805478884,0.34250016814128154,0.21790948694467635,0.7814545454545454,0.9404636363636364,0.6218705443910545,,0.6218705443910545,0.08691308682375826,10000,0.07085051556895865,10000,0.10892923315951387,10000
Quantile,smiles,BNN-β,0.10202658514639135,0.3145648193119113,0.21109313846819544,0.7623636363636364,0.9413909090909091,0.6720187355809091,,,0.05736863832603339,10000,0.051030519450764464,10000,0.07726504212627298,10000
Quantile,smiles,BNN-α,0.09157919112696795,0.29255514987298165,0.2172508914375292,0.7672727272727272,0.9432727272727273,0.6736597846872181,,0.6736597846872181,0.05828578059656364,10000,0.042126618392150844,10000,0.0703358749648358,10000
Quantile,smiles,VBLL-α,0.07656454166576053,0.227650631568441,0.21450702181841552,0.7449636363636364,0.9485545454545454,0.7525592845730907,0.7121638533636364,0.7525592845730907,0.16929150514170027,10000,0.03649431705549059,10000,0.0579977942630219,10000
Quantile,smiles,VBLL-β,0.05927465901326373,0.2302492801242212,0.2630746560010703,0.7663518518518518,0.9458796296296297,0.7427083781412037,0.6492682686111111,0.7427083781412037,0.09026822050402036,10000,0.02496429016571779,10000,0.05083649647206929,9000
Quantile,ecfp4,QRF,0.2776582364945362,0.14751092765765597,0.17662122155079749,0.768090909090909,0.9164545454545454,0.5443132346710089,0.5443132346710089,,-0.1544954987158518,1000,0.10994673860641904,1000,0.17160188863149997,1000
Quantile,ecfp4,BNN-α,0.11402833075406471,0.27293897262814865,0.2749632729157019,0.8014862385321101,0.9421009174311926,0.6875637262301468,,0.6875637262301468,0.13446749929095314,10000,0.05665442138185263,10000,0.1041663637791636,10000
Quantile,ecfp4,BNN-β,0.1572303876679342,0.2895888962606505,0.3224359495831157,0.8114545454545454,0.9433636363636364,0.7305779832674545,,,0.12543153861959166,10000,0.06855076206639608,10000,0.10699607743497462,10000
Quantile,ecfp4,NGBoost,0.2030035813323827,0.2660261630859458,0.15275278895406355,0.7346,0.9381,0.6213994889117513,0.6213994889117513,,0.04402160764051236,1000,0.10427146828152972,1000,0.15621038589289574,1000
Quantile,ecfp4,GP,0.13714341125224083,0.42246342421814387,0.28997821037117655,0.844625,0.95975,0.6686614916736117,0.7917594116361617,0.6686614916736117,-0.24384381349075887,1000,,0,,0
Quantile,ecfp4,VBLL-β,0.14697581612578586,0.30211981300273105,0.22333472301534152,0.7866261682242991,0.9492897196261683,0.6617763067962618,0.6109064347663552,0.6617763067962618,0.04860143638041669,8000,0.07285191231067169,10000,0.10357777159092459,10000
Quantile,ecfp4,VBLL-α,0.07071765652833921,0.290087778394679,0.25402264148742576,0.7733211009174312,0.947091743119266,0.7391906634042202,0.6853971478899082,0.7391906634042202,0.14530705164154192,9000,0.0818131722610405,10000,0.0980264073270279,10000
Quantile,pdv,QRF,0.238757724383292,0.14406818480531833,0.1526876601935078,0.6587272727272727,0.8780909090909091,0.4512876008706745,0.4512876008706745,,0.36371896201040466,1000,0.11755070787879442,1000,0.10445828372189933,1000
