,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.
NN-α,0.9040799594985863,0.820149747921784,0.937867806089852,0.8389409618262116,0.5829329581424004,0.6503944268824359
BNN-α,0.9111940458746348,0.828629025196183,0.9419129389160046,0.8464647992294796,0.6062302663195833,0.6687216314390091
VBLL-α,0.9015507433604215,0.8113783100261363,0.9322176340626888,0.8229418813928047,0.5772304775811237,0.6410150954269376
NN-β,0.8916498079635081,0.7891972006948186,0.934342519629147,0.815956816405814,0.5159765929213718,0.5902029443920447
BNN-β,0.9129106109924127,0.8342918344517394,0.9412288801685025,0.8464004447370785,0.6094869582651139,0.6683018008613417
VBLL-β,0.9035266091427493,0.8198960995192417,0.9432184219291248,0.839826856683497,0.5947220714350947,0.6537495044371822
RF,0.9205694390413892,0.8455319879645693,0.9548335023402059,0.8720071522874638,0.6264169046885002,0.6869563652929733
QRF,0.9179468217042487,0.8387873534602078,0.9546266172721641,0.863533550964203,0.6104945701699911,0.6748843328108435
