model,rep,strategy,sigma,iteration,r2
dnn_vbll,mhggnn,quantile,0.1,4,-1.0605616569519043
dnn_vbll,mhggnn,quantile,0.5,7,-0.5209658145904541
dnn_vbll,mhggnn,quantile,0.6,7,-2.406601667404175
dnn_vbll,mhggnn,quantile,0.7,6,-1.80356240272522
dnn_vbll,mhggnn,quantile,0.8,7,-1.7079014778137207
dnn_vbll,mhggnn,quantile,0.9,5,-0.9593503475189208
dnn_vbll,mhggnn,quantile,1.0,3,-1.8072099685668943
dnn_vbll,mol2vec,quantile,0.0,0,-0.943288803100586
dnn_vbll,mol2vec,quantile,0.0,5,-0.595289945602417
dnn_vbll,mol2vec,quantile,0.0,7,-0.5940077304840088
dnn_vbll,mol2vec,quantile,0.6,1,-0.8482128381729126
dnn_vbll,mol2vec,quantile,0.6,2,-0.5297994613647461
dnn_vbll,mol2vec,quantile,0.6,5,-2.064419269561768
dnn_vbll,mol2vec,quantile,0.7,8,-22.66773223876953
dnn_vbll,mol2vec,quantile,0.9,2,-5.468048095703125
dnn_vbll,mol2vec,quantile,1.0,0,-1.4172871112823486
dnn_vbll,mol2vec,quantile,1.0,5,-2.39825701713562
mlp_vbll,mol2vec,valprop,0.0,9,-2.6507036685943604
mlp_vbll,mol2vec,valprop,0.2,9,-0.8846707344055176
mlp_vbll,mol2vec,valprop,0.3,6,-10.087023735046388
mlp_vbll,mol2vec,valprop,0.3,8,-0.8062107563018799
mlp_vbll,mol2vec,valprop,0.4,2,-0.8553783893585205
mlp_vbll,mol2vec,valprop,0.4,9,-2.1799638271331787
mlp_vbll,mol2vec,valprop,0.6,1,-3.2224912643432617
mlp_vbll,mol2vec,valprop,0.7,1,-2.180092096328736
mlp_vbll,mol2vec,valprop,0.7,7,-0.5005934238433838
mlp_vbll,mol2vec,valprop,0.8,8,-1.514065504074097
mlp_vbll,mol2vec,valprop,0.8,9,-1.4011805057525637
mlp_vbll,mol2vec,valprop,0.9,3,-1.7857801914215088
dnn_vbll,mhggnn,legacy,0.9,6,-3.022489547729492
dnn_vbll,mhggnn,legacy,0.0,5,-0.577786922454834
dnn_vbll,mhggnn,legacy,0.0,8,-3.5442185401916504
dnn_vbll,mhggnn,legacy,0.1,3,-0.6864705085754395
dnn_vbll,mhggnn,legacy,0.3,9,-2.2189865112304688
dnn_vbll,mhggnn,legacy,0.4,2,-2.342935800552368
dnn_vbll,mhggnn,legacy,0.4,7,-5.730320930480957
dnn_vbll,mhggnn,legacy,0.6,4,-2.40964674949646
dnn_vbll,mhggnn,legacy,1.0,6,-2.915792942047119
dnn_vbll,mhggnn,threshold,0.0,5,-0.577786922454834
dnn_vbll,mhggnn,threshold,0.0,8,-3.5442185401916504
dnn_vbll,mhggnn,threshold,0.2,2,-2.342935800552368
dnn_vbll,mhggnn,threshold,0.2,7,-5.730320930480957
dnn_vbll,mhggnn,threshold,0.3,4,-2.40964674949646
dnn_vbll,mhggnn,threshold,0.5,6,-2.915792942047119
dnn_vbll,mhggnn,threshold,1.0,1,-1.8091740608215328
mlp_vbll,mhggnn,threshold,0.0,6,-4.666679859161377
mlp_vbll,mhggnn,threshold,0.1,0,-1.7774651050567627
mlp_vbll,mhggnn,threshold,0.1,3,-2.9155542850494385
mlp_vbll,mhggnn,threshold,0.2,3,-1.1852083206176758
mlp_vbll,mhggnn,threshold,0.3,8,-0.6681499481201172
mlp_vbll,mhggnn,threshold,0.3,9,-0.6247749328613281
mlp_vbll,mhggnn,threshold,0.4,8,-1.4734466075897217
mlp_vbll,mhggnn,threshold,0.4,9,-0.5843505859375
mlp_vbll,mhggnn,threshold,0.5,9,-0.5428663492202759
mlp_vbll,mhggnn,threshold,0.6,7,-1.0685162544250488
mlp_vbll,mhggnn,threshold,0.9,3,-3.404688835144043
mlp_vbll,mhggnn,quantile,0.0,6,-4.666679859161377
mlp_vbll,mhggnn,quantile,0.4,6,-0.5855803489685059
mlp_vbll,mhggnn,quantile,0.5,6,-6.004911422729492
mlp_vbll,mhggnn,quantile,0.6,9,-4.965810775756836
mlp_vbll,mhggnn,quantile,0.7,1,-1.6628477573394775
mlp_vbll,mhggnn,quantile,0.7,7,-2.116375684738159
mlp_vbll,mhggnn,quantile,0.8,4,-0.6791301965713501
mlp_vbll,mhggnn,outlier,0.0,6,-4.666679859161377
mlp_vbll,mhggnn,outlier,0.1,6,-9.52401638031006
mlp_vbll,mhggnn,outlier,0.1,8,-1.2785470485687256
mlp_vbll,mhggnn,outlier,0.2,3,-1.8043386936187744
mlp_vbll,mhggnn,outlier,0.4,3,-0.8312911987304688
mlp_vbll,mhggnn,outlier,0.5,0,-1.3447952270507812
mlp_vbll,mhggnn,outlier,0.6,3,-1.1629245281219482
mlp_vbll,mhggnn,outlier,0.7,8,-5.133125305175781
mlp_vbll,mhggnn,outlier,0.8,0,-0.578192949295044
