Family,Model,Type,AUC_norm,Baseline R²,Wilcoxon p,Significant
NN-α Family,dnn,Deterministic,0.820149747921784,0.8672125008371141,,
NN-α Family,dnn_bnn_full,Probabilistic,0.828629025196183,0.8538276016712188,2.9103830456733704e-11,*
NN-α Family,dnn_vbll,Probabilistic,0.8113783100261363,0.7625107824802398,0.2522493600845337,
NN-β Family,mlp,Deterministic,0.7891972006948186,0.8581741333007813,,
NN-β Family,mlp_bnn_full,Probabilistic,0.8342918344517394,0.8655526861548424,2.9103830456733704e-11,*
NN-β Family,mlp_vbll,Probabilistic,0.8198960995192417,0.8280447244644165,1.1920928955078125e-07,*
RF Family,rf,Deterministic,0.8455319879645693,0.8658348968520694,,
RF Family,qrf,Probabilistic,0.8387873534602078,0.8687494541770752,2.8762769943568856e-11,*
