Model,Unc-Error ρ,Unc-Noise ρ (pooled),ECE,Coverage 1σ,Coverage 2σ,Mean Uncertainty,Mean Aleatoric,Mean Epistemic,Unc-Noise ρ σ=0.0,Unc-Noise n σ=0.0,Unc-Noise ρ σ=0.3,Unc-Noise n σ=0.3,Unc-Noise ρ σ=0.6,Unc-Noise n σ=0.6
QRF,0.29713404842648333,0.35516693158890017,0.13630797893440366,0.7028297170282972,0.9401059894010599,0.5622016490936451,0.5622016490936451,,-0.08619497706134804,1000,,1,0.017474238732383966,1000
NGBoost,0.2869622510098105,0.47196501660753837,0.11298155878861624,0.6897272727272727,0.952,0.5601902636045724,0.5601902636045724,,0.01834711897837944,1000,0.01843611599556435,1000,0.022990262650388067,1000
BNN-β,0.2405961239308484,0.37589311795623587,0.19311006864542604,0.7212,0.9402,0.5926578137042999,,0.5926578137042999,0.011905422191824234,1000,-0.05039877839877841,1000,-0.04375973575973576,1000
BNN-α,0.22914276452823965,0.3534865211890865,0.25821600278463563,0.7459,0.9428,0.6578013237309001,,0.6578013237309001,-0.03514289341037812,1000,-0.0483955563955564,1000,-0.06656287856287856,1000
VBLL-β,0.22647680265409745,0.3728572918741218,0.1985698518955452,0.7147272727272728,0.9448181818181818,0.6473349406890909,0.6283800763636364,0.6473349406890909,0.055511674799752754,1000,0.01951977151977152,1000,0.02801038001038001,1000
VBLL-α,0.15926460460392322,0.24723751233713645,0.22922538858972089,0.7406363636363636,0.9545454545454546,0.6870882495818181,0.6458687127272728,0.6870882495818181,0.22114832937352308,1000,0.013971397971397974,1000,0.020755268755268754,1000
