dataset,rep,strategy,n,rho,top_auc,top_r06,top_base,rho_auc_base
OpenADMET-Caco2_Efflux,SNS,outlier,10,0.8181818181818182,SVM,SVM,LightGBM,0.04242424242424241
OpenADMET-Caco2_Efflux,SNS,quantile,10,0.9272727272727272,SVM,SVM,LightGBM,-0.2727272727272727
OpenADMET-Caco2_Efflux,SNS,threshold,11,0.6181818181818182,SVM,LightGBM,XGBoost,-0.3727272727272728
OpenADMET-Caco2_Efflux,SNS,valprop,9,0.9166666666666666,NGBoost,NGBoost,LightGBM,-0.8166666666666667
OpenADMET-LogD,ECFP4,hetero,12,0.30069930069930073,NGBoost,LightGBM,LightGBM,0.2657342657342658
OpenADMET-LogD,ECFP4,legacy,12,0.22377622377622378,NGBoost,LightGBM,LightGBM,0.17482517482517487
OpenADMET-LogD,ECFP4,outlier,11,0.41818181818181827,SVM,LightGBM,LightGBM,0.29090909090909095
OpenADMET-LogD,ECFP4,quantile,11,0.16363636363636366,NGBoost,LightGBM,LightGBM,0.018181818181818184
OpenADMET-LogD,ECFP4,threshold,12,0.7482517482517484,NGBoost,LightGBM,LightGBM,0.27272727272727276
OpenADMET-LogD,ECFP4,valprop,11,0.46363636363636374,NGBoost,LightGBM,LightGBM,0.05454545454545456
OpenADMET-LogD,MHG-GNN-pretrained,hetero,6,-0.6,NGBoost,LightGBM,LightGBM,-0.48571428571428577
OpenADMET-LogD,MHG-GNN-pretrained,legacy,6,0.2,NGBoost,LightGBM,LightGBM,-0.3714285714285715
OpenADMET-LogD,MHG-GNN-pretrained,outlier,6,-0.2571428571428572,SVM,LightGBM,LightGBM,-0.2571428571428572
OpenADMET-LogD,MHG-GNN-pretrained,quantile,7,0.3571428571428572,NGBoost,LightGBM,LightGBM,0.21428571428571433
OpenADMET-LogD,MHG-GNN-pretrained,threshold,6,0.8857142857142858,NGBoost,SVM,LightGBM,-0.2571428571428572
OpenADMET-LogD,MHG-GNN-pretrained,valprop,6,0.4285714285714286,NGBoost,LightGBM,LightGBM,-0.3714285714285715
OpenADMET-LogD,PDV,hetero,13,-0.19780219780219782,MLP-BNN-Full,DNN,DNN,-0.2747252747252747
OpenADMET-LogD,PDV,legacy,13,0.03296703296703297,NGBoost,DNN,DNN,-0.11538461538461539
OpenADMET-LogD,PDV,outlier,13,0.17032967032967034,MLP-BNN-Full,SVM,MLP,-0.027472527472527472
OpenADMET-LogD,PDV,quantile,13,-0.23076923076923078,BNN-Full,DNN,DNN,-0.3516483516483516
OpenADMET-LogD,PDV,threshold,13,0.6483516483516483,NGBoost,GP,DNN,0.016483516483516484
OpenADMET-LogD,PDV,valprop,13,0.39560439560439564,MLP-BNN-Full,GP,DNN,-0.09890109890109891
OpenADMET-LogD,SNS,hetero,12,-0.6013986013986015,BNN-Full,LightGBM,DNN,-0.6923076923076924
OpenADMET-LogD,SNS,legacy,12,0.37762237762237766,MLP-BNN-Full,LightGBM,DNN,0.1958041958041958
OpenADMET-LogD,SNS,outlier,12,0.3636363636363637,SVM,LightGBM,DNN,0.2447552447552448
OpenADMET-LogD,SNS,quantile,12,0.18881118881118883,MLP-BNN-Full,LightGBM,DNN,0.09090909090909093
OpenADMET-LogD,SNS,threshold,12,0.6783216783216784,MLP-BNN-Full,LightGBM,DNN,0.14685314685314685
OpenADMET-LogD,SNS,valprop,12,0.3216783216783217,NGBoost,LightGBM,DNN,-0.11188811188811189
