dataset,model,rep,strategy,fold,baseline,auc_norm,r2_06
ChEMBL-hERG-Ki,DNN,PDV,legacy,0,0.3320377095477549,-3.7531767984912587,-0.1802188418607833
ChEMBL-hERG-Ki,DNN,PDV,legacy,4,0.4622659525373221,0.6695319067999028,0.4505549820956172
ChEMBL-hERG-Ki,DNN,PDV,outlier,0,0.3395045864010668,-4.193825470850931,0.3351194901386976
ChEMBL-hERG-Ki,DNN,PDV,outlier,4,0.4689105819730708,0.6045724849353094,0.2304310547912844
ChEMBL-hERG-Ki,DNN,PDV,quantile,4,0.4962027252239661,0.6890261328864405,0.2322429180837865
ChEMBL-hERG-Ki,DNN,PDV,threshold,0,0.3693293314968836,-36.86246183148099,-2.5082739170761794
ChEMBL-hERG-Ki,DNN,PDV,threshold,4,0.4139660211907593,0.5339710152567995,0.2941071860196804
ChEMBL-hERG-Ki,DNN,PDV,valprop,1,0.3252109633031065,0.6519959835336325,0.0199655193207601
ChEMBL-hERG-Ki,DNN,PDV,valprop,4,0.3760007661061079,0.5992912503638783,0.2057682331482292
ChEMBL-hERG-Ki,DNN,SNS,hetero,0,0.509117401132601,0.9039147215830965,0.4892500069938578
ChEMBL-hERG-Ki,DNN,SNS,hetero,1,0.4571483382733911,1.0366315108167456,0.4421616827515845
ChEMBL-hERG-Ki,DNN,SNS,hetero,2,0.3280856903956278,1.2290573556874533,0.2964666269339859
ChEMBL-hERG-Ki,DNN,SNS,hetero,3,0.347825089496688,1.1511717546663331,0.3518993261009612
ChEMBL-hERG-Ki,DNN,SNS,hetero,4,0.4370565699997866,0.934913887516981,0.4325846762706348
ChEMBL-hERG-Ki,DNN,SNS,legacy,0,0.435951907703661,1.0539158730005251,0.3997262204417979
ChEMBL-hERG-Ki,DNN,SNS,legacy,1,0.4970306195992158,0.9272769237171227,0.4533251327618387
ChEMBL-hERG-Ki,DNN,SNS,legacy,2,0.3889323779133052,0.952311413824042,0.0918001177194723
ChEMBL-hERG-Ki,DNN,SNS,legacy,3,0.3446644013448451,1.0723136068658805,0.3363857486926868
ChEMBL-hERG-Ki,DNN,SNS,legacy,4,0.4146056179358375,0.9311805680926404,0.4304732991111767
ChEMBL-hERG-Ki,DNN,SNS,outlier,0,0.4956025817445398,0.9824811913653845,0.4429698140203112
ChEMBL-hERG-Ki,DNN,SNS,outlier,1,0.3948085721659291,1.2506233974796364,0.497321319875061
ChEMBL-hERG-Ki,DNN,SNS,outlier,2,0.5220243623440493,0.8176469816376302,0.3482333378561199
ChEMBL-hERG-Ki,DNN,SNS,outlier,3,0.3598835500581331,1.078803127971452,0.4159051244599845
ChEMBL-hERG-Ki,DNN,SNS,outlier,4,0.3970484445790334,1.0496915570431293,0.409135325470887
ChEMBL-hERG-Ki,DNN,SNS,quantile,0,0.5595575044626138,0.8342311491208876,0.5086307579529356
ChEMBL-hERG-Ki,DNN,SNS,quantile,1,0.4830391411365835,0.9190867984420628,0.4655782625473126
ChEMBL-hERG-Ki,DNN,SNS,quantile,2,0.3769859983257569,1.1066165522778022,0.5046400633320247
ChEMBL-hERG-Ki,DNN,SNS,quantile,3,0.3902238619338891,0.9564555377159868,0.3829213098733977
ChEMBL-hERG-Ki,DNN,SNS,quantile,4,0.3581457356243869,1.1494567831437976,0.4635811209097
ChEMBL-hERG-Ki,DNN,SNS,threshold,0,0.4807255893649371,0.9094145675489349,0.4382753003322128
ChEMBL-hERG-Ki,DNN,SNS,threshold,1,0.5528729191408073,0.691722337529769,0.3616650218177359
ChEMBL-hERG-Ki,DNN,SNS,threshold,2,0.5045088624583773,0.5213760847585062,-0.0257610547640099
ChEMBL-hERG-Ki,DNN,SNS,threshold,3,0.3768992665802336,0.7602758923941743,0.3135300312868453
ChEMBL-hERG-Ki,DNN,SNS,threshold,4,0.4299972257572173,0.8127172710921103,0.3765512871740465
ChEMBL-hERG-Ki,DNN,SNS,valprop,0,0.4269791095474153,0.958779238030853,0.4142774718370968
ChEMBL-hERG-Ki,DNN,SNS,valprop,1,0.4928478965512934,0.7549172842422811,0.2903572522044825
ChEMBL-hERG-Ki,DNN,SNS,valprop,2,0.5367442783036913,0.5009691923244847,-0.0414307057440062
ChEMBL-hERG-Ki,DNN,SNS,valprop,3,0.4449454908376906,0.6963961845817799,0.2131686343147379
ChEMBL-hERG-Ki,DNN,SNS,valprop,4,0.4011569345835054,0.8156104850126074,0.3319090685915469
ChEMBL-hERG-Ki,LightGBM,ECFP4,hetero,0,0.5742297238352045,0.9105003278301124,0.5513040544598654
ChEMBL-hERG-Ki,LightGBM,ECFP4,hetero,1,0.554693890104673,0.9054493789533378,0.5185669550411305
ChEMBL-hERG-Ki,LightGBM,ECFP4,hetero,2,0.4604136466918566,0.85251908220969,0.4149606222787371
ChEMBL-hERG-Ki,LightGBM,ECFP4,hetero,3,0.5172261185489508,0.919934008267123,0.4983733361024206
ChEMBL-hERG-Ki,LightGBM,ECFP4,hetero,4,0.4262691680215326,0.9448503918695108,0.4169002637620604
ChEMBL-hERG-Ki,LightGBM,ECFP4,legacy,0,0.5742297238352045,0.7850983470861477,0.4893798475186116
ChEMBL-hERG-Ki,LightGBM,ECFP4,legacy,1,0.554693890104673,0.7876923531517152,0.4357570671754558
ChEMBL-hERG-Ki,LightGBM,ECFP4,legacy,2,0.4604136466918566,0.6926489741824275,0.3617467798312618
ChEMBL-hERG-Ki,LightGBM,ECFP4,legacy,3,0.5172261185489508,0.7906947199085499,0.4520328865824941
ChEMBL-hERG-Ki,LightGBM,ECFP4,legacy,4,0.4262691680215326,0.7741423189872546,0.3442319165316854
ChEMBL-hERG-Ki,LightGBM,ECFP4,outlier,0,0.5742297238352045,0.9306919318753849,0.565634556495594
ChEMBL-hERG-Ki,LightGBM,ECFP4,outlier,1,0.554693890104673,0.8867060176625422,0.501165545633093
ChEMBL-hERG-Ki,LightGBM,ECFP4,outlier,2,0.4604136466918566,0.8758478560357694,0.3880225550032918
ChEMBL-hERG-Ki,LightGBM,ECFP4,outlier,3,0.5172261185489508,0.9123009517883492,0.5302345567350037
ChEMBL-hERG-Ki,LightGBM,ECFP4,outlier,4,0.4262691680215326,0.9765307116140589,0.3718714693572504
ChEMBL-hERG-Ki,LightGBM,ECFP4,quantile,0,0.5742297238352045,0.837626060413464,0.4756042279552734
ChEMBL-hERG-Ki,LightGBM,ECFP4,quantile,1,0.554693890104673,0.7993794321552541,0.4652356954607289
ChEMBL-hERG-Ki,LightGBM,ECFP4,quantile,2,0.4604136466918566,0.6952737831166147,0.3034281151453286
ChEMBL-hERG-Ki,LightGBM,ECFP4,quantile,3,0.5172261185489508,0.8218655599932978,0.4610398718968502
ChEMBL-hERG-Ki,LightGBM,ECFP4,quantile,4,0.4262691680215326,0.8693142730172368,0.3550075289680582
ChEMBL-hERG-Ki,LightGBM,ECFP4,threshold,0,0.5742297238352045,0.18246467648361925,0.2417496869229449
ChEMBL-hERG-Ki,LightGBM,ECFP4,threshold,1,0.554693890104673,0.19836871465035943,0.1098098856081368
ChEMBL-hERG-Ki,LightGBM,ECFP4,threshold,2,0.4604136466918566,0.06629395379148334,0.1913312362158463
ChEMBL-hERG-Ki,LightGBM,ECFP4,threshold,3,0.5172261185489508,0.23179265524260165,0.2249075674230118
ChEMBL-hERG-Ki,LightGBM,ECFP4,threshold,4,0.4262691680215326,0.03938795866531489,0.1008930954308323
ChEMBL-hERG-Ki,LightGBM,ECFP4,valprop,0,0.5742297238352045,0.26479402449612766,0.2719944136158074
ChEMBL-hERG-Ki,LightGBM,ECFP4,valprop,1,0.554693890104673,0.22608011980040194,0.1901981061207672
ChEMBL-hERG-Ki,LightGBM,ECFP4,valprop,2,0.4604136466918566,0.15420130306482865,0.2326341763032841
ChEMBL-hERG-Ki,LightGBM,ECFP4,valprop,3,0.5172261185489508,0.3370142780861026,0.2270865809273345
ChEMBL-hERG-Ki,LightGBM,ECFP4,valprop,4,0.4262691680215326,0.18329051472039792,0.135504810270703
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,hetero,0,0.5955987809010761,0.9538871766457645,0.5964615880125561
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,hetero,1,0.4819790153845559,0.9440191948664735,0.3629268267015589
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,hetero,2,0.5895592827920892,0.9720130121129881,0.5920967557422947
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,hetero,3,0.4493248235009474,0.8595386500322836,0.3844116369478053
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,hetero,4,0.3628639758930064,0.9465639404214286,0.2954171317738384
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,legacy,0,0.5955987809010761,0.8435718052526802,0.4919137651067469
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,legacy,1,0.4819790153845559,0.7733346571616688,0.3066006510297194
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,legacy,2,0.5895592827920892,0.8768869221260727,0.5248877015401485
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,legacy,3,0.4493248235009474,0.7353762283617046,0.3327440241678185
