sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function,spec_version,spec_hash,gp_fit_method,gp_collapsed
0.0,0,gauche_rbf,mhggnn,600,0.3739790234416322,0.4029161538000683,0.634756767431485,0.5897878686588709,0.7787433265845659,default,mse,1.1.0,b26ae9c13c9c,adam_fallback,0
0.0,0,gauche_rbf,chemberta,600,0.5172576562247916,0.5171216193294059,0.7191116876601339,0.47351437854498934,0.6975342391065528,default,mse,1.1.0,b26ae9c13c9c,adam_fallback,0
0.0,0,gauche_rbf,continuous_pdv,600,0.43068434210268924,0.4975158609996558,0.7053480424582291,0.4934751565757374,0.7172236723713374,default,mse,1.1.0,b26ae9c13c9c,adam_fallback,0
0.0,0,gauche_rbf,avalon,600,0.42020679206935435,0.4556277853589797,0.6750020632257205,0.5361217385612951,0.7369823896449529,default,mse,1.1.0,b26ae9c13c9c,adam_fallback,0
