sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function,spec_version,spec_hash,gp_fit_method
0.0,0,rf,avalon,300,0.47341017619567,0.5927114150515679,0.7698775325021298,0.231525479201809,0.5446758040058922,default,mse,1.0.0,aa0368c86eb6,
0.0,0,rf,chemberta,300,0.6001380925358583,0.6256749609713815,0.7909961826528504,0.18878689764043644,0.46913189023989,default,mse,1.0.0,aa0368c86eb6,
0.0,0,rf,mhggnn,300,0.42689861512028926,0.49548777108019687,0.7039089224325806,0.35757989845852756,0.6305543270156527,default,mse,1.0.0,aa0368c86eb6,
0.0,0,rf,mol2vec,300,0.4880108058556604,0.5098047896502403,0.7140061551907241,0.33901730002448915,0.6006613515449949,default,mse,1.0.0,aa0368c86eb6,
0.0,0,rf,continuous_pdv,300,0.4230653422029379,0.5097274640204589,0.7139520040033915,0.33911755585689374,0.6199960647488623,default,mse,1.0.0,aa0368c86eb6,
