,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.
MLP,-0.21907672773707995,-0.38130182298746973,-0.14190280112353243,-0.3478689730167389,-0.7039811302315104,-0.6413100602650884
MLP-VBLL,-0.23880692286924876,-0.5385079074989666,-0.08549813032150266,-0.40896556539969015,-0.8359137551351027,-0.8836470495570788
