Model,Unc-Error ρ,Unc-Noise ρ (pooled),ECE,Coverage 1σ,Coverage 2σ,Mean Uncertainty,Mean Aleatoric,Mean Epistemic,Unc-Noise ρ σ=0.0,Unc-Noise n σ=0.0,Unc-Noise ρ σ=0.3,Unc-Noise n σ=0.3,Unc-Noise ρ σ=0.6,Unc-Noise n σ=0.6
GP,0.2275816070176082,0.5353599679775168,0.13380771551485163,0.7143,0.9457,0.5834261967186275,0.6891738374863946,0.5834261967186275,-0.07043303159904986,1000,-0.04301605391939106,1000,-0.04271307161004612,1000
QRF,0.2149394939636889,0.229629807181294,0.15288008770883665,0.7003299670032996,0.936906309369063,0.6184462995953719,0.6185700012254538,,,1,0.03847130762544687,1000,0.03783311119510322,1000
BNN-β,0.21058585567768737,0.400121755035126,0.1762650235816673,0.7347818181818182,0.9508272727272727,0.6364080118988636,,,0.08452924546469641,10000,0.003330114159980485,10000,-0.00835060627941,10000
BNN-α,0.2046023739502561,0.4173499418619271,0.17125248671776347,0.7336545454545454,0.9509363636363637,0.6243993437370909,,0.6243993437370909,0.08710993689154828,10000,-0.004196726964861172,10000,-0.0015658676799922067,10000
NGBoost,0.1634240293314252,0.4721744990010051,0.13180200119535257,0.6927,0.9536,0.6572914235275197,0.6572914235275197,,-0.002466862299102919,1000,0.07612255736934546,1000,0.08683757135806991,1000
