model,rep,strategy,nds_mean,nds_std,baseline_r2,n_iterations,in_anova
dnn_bnn_full,smiles,threshold,-0.6708452484824441,,0.7574119329452514,1,True
dnn_bnn_full,smiles,valprop,-0.593269860202616,,0.754777193069458,1,True
dnn_bnn_full,sns,hetero,-0.22283472033462137,,0.8258293986320495,1,False
dnn_bnn_full,sns,legacy,-0.38934557979757134,,0.8273230195045471,1,False
dnn_bnn_full,sns,outlier,-0.125842944058505,,0.8269217908382416,1,False
dnn_bnn_full,sns,quantile,-0.364197809045965,,0.8269128382205964,1,False
dnn_bnn_full,sns,threshold,-0.7471914865753868,,0.8269128382205964,1,False
dnn_bnn_full,sns,valprop,-0.6711110391400077,,0.8258293986320495,1,False
dnn_vbll,continuous_pdv,hetero,-0.21688544476273083,,0.7625107824802398,1,True
dnn_vbll,continuous_pdv,legacy,-0.3797849039236704,,0.7625107824802398,1,True
dnn_vbll,continuous_pdv,outlier,-0.156240463256836,,0.7625107824802398,1,True
dnn_vbll,continuous_pdv,quantile,-0.35001129417708426,,0.7625107824802398,1,True
dnn_vbll,continuous_pdv,threshold,-0.6767989155921069,,0.7625107824802398,1,True
dnn_vbll,continuous_pdv,valprop,-0.6018884615464644,,0.7625107824802398,1,True
dnn_vbll,ecfp4,hetero,-0.19348721522273438,,0.7217145502567291,1,True
dnn_vbll,ecfp4,legacy,-0.3565941070065354,,0.7214737931887308,1,True
dnn_vbll,ecfp4,outlier,-0.13999335007234057,,0.7217145502567291,1,True
dnn_vbll,ecfp4,quantile,-0.3357547545071804,,0.7214737931887308,1,True
dnn_vbll,ecfp4,threshold,-0.6440934885631908,,0.7214737931887308,1,True
dnn_vbll,ecfp4,valprop,-0.5746328873465759,,0.7214737931887308,1,True
dnn_vbll,pdv,hetero,-0.19674689932303,,0.7929154217243195,1,False
dnn_vbll,pdv,legacy,-0.35873245813629845,,0.7929154217243195,1,False
dnn_vbll,pdv,outlier,-0.11520381393757738,,0.7929154217243195,1,False
dnn_vbll,pdv,quantile,-0.30016303640423403,,0.7929154217243195,1,False
dnn_vbll,pdv,threshold,-0.6875648721299993,,0.7929154217243195,1,False
dnn_vbll,pdv,valprop,-0.614045169136741,,0.7929154217243195,1,False
dnn_vbll,smiles,hetero,-0.19327405673084835,,0.6571077704429626,1,True
dnn_vbll,smiles,legacy,-0.34368860559030007,,0.6569976568222046,1,True
dnn_vbll,smiles,outlier,-0.12311226779764355,,0.658834058046341,1,True
dnn_vbll,smiles,quantile,-0.31048798777840364,,0.6558875143527985,1,True
dnn_vbll,smiles,threshold,-0.6294616303660653,,0.6585036873817444,1,True
dnn_vbll,smiles,valprop,-0.5746585826681118,,0.6555796563625336,1,True
gauche,ecfp4,hetero,-0.19130868967629674,,0.8224827475156756,1,False
gauche,ecfp4,legacy,-0.3419805363042253,,0.822482747515676,1,False
