Family,Model,Type,NDS,Baseline R²,Wilcoxon p,Significant
NN-α Family,dnn,Deterministic,-0.40732365948125226,0.8672125008371141,,
NN-α Family,dnn_bnn_full,Probabilistic,-0.3783638592922326,0.8538276016712188,2.9103830456733704e-10,*
NN-α Family,dnn_vbll,Probabilistic,-0.3797849039236704,0.7625107824802398,1.1920928955078125e-06,*
NN-β Family,mlp,Deterministic,-0.48746727542443724,0.8581741333007813,,
NN-β Family,mlp_bnn_full,Probabilistic,-0.38181345732224103,0.8655526861548424,2.9103830456733704e-11,*
NN-β Family,mlp_vbll,Probabilistic,-0.38787906934516597,0.8280447244644165,1.1920928955078125e-07,*
RF Family,rf,Deterministic,-0.35859244478463015,0.8658348968520694,,
RF Family,qrf,Probabilistic,-0.37210767272460865,0.8687494541770752,1.6007106751203537e-10,*
