,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.
NN-α,-0.23113491420794005,-0.40732365948125226,-0.15794563916596496,-0.36807276221236795,-0.7659042561295056,-0.6848496101119301
BNN-α,-0.2123077351336527,-0.3783638592922326,-0.1492919605789763,-0.35204838833423574,-0.7151010488620912,-0.6449799369681966
VBLL-α,-0.21688544476273083,-0.3797849039236704,-0.156240463256836,-0.35001129417708426,-0.6767989155921069,-0.6018884615464644
NN-β,-0.2626945887551163,-0.48746727542443724,-0.16504490483890885,-0.42261123855908717,-0.8789227333935825,-0.786398104968525
BNN-β,-0.21302072237236325,-0.38181345732224103,-0.14906136152720215,-0.35501007010238345,-0.7232302622361617,-0.6500786868008701
VBLL-β,-0.2262786041606556,-0.38787906934516597,-0.13691758730194786,-0.3403217275335331,-0.7028206430902384,-0.6400166820396076
RF,-0.19575160214857468,-0.35859244478463015,-0.1156128925738835,-0.3040228116533356,-0.7101382983744733,-0.632186711751575
QRF,-0.2009224337594972,-0.37210767272460865,-0.11023903718886863,-0.31211051174732,-0.7416144784178282,-0.6550180044528492
