Strategy,Perf_Model_η²,Perf_Rep_η²,Perf_Interaction_η²,Perf_Residual_η²,Robust_Model_η²,Robust_Rep_η²,Robust_Interaction_η²,Robust_Residual_η²
Value-Prop.,27.76198248882743,21.985342152580508,46.48667836919751,3.7659969893945524,52.760805441369875,6.856827488525531,22.161093279850004,18.221273790254582
Heteroscedastic,27.88407802058268,23.496389511480896,46.165116923031555,2.4544155449048746,36.992308174034925,4.537277265115481,17.487923063898595,40.982491496951006
Outlier,25.257779309995993,22.024784716264282,49.23206289245116,3.4853730812885684,12.749927965896852,3.2077234271415698,4.743299825059771,79.2990487819018
Threshold,25.009933295150955,21.172835843938806,48.03391795045448,5.783312910455763,48.02342332762288,10.083435595737374,28.00078206850143,13.892359008138321
Gaussian,24.635317156986606,22.798303861385865,48.08428610923218,4.482092872395339,48.72822213723612,8.179280731624566,11.913066083706356,31.17943104743296
Quantile,25.129557439891315,22.382385859624392,46.88932150331393,5.598735197170364,47.900975891291075,6.798455479609385,14.935287690990492,30.365280938109052
