model,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,family
dnn,0.5340350607417748,1.0,0.36511589362447944,0.9177511591344829,1.879818041504814,1.6850194652313866,nn
gauche,0.5651942403606066,1.0,0.35062969802844646,0.8682464493452143,1.8262074490598597,1.6799516769619665,other
lgb,0.5458627078172467,1.0,0.3383097124503831,0.8754774554998281,1.972801466025229,1.7541404644307885,tree
mlp,0.5745493845810414,1.0,0.3721534820152056,0.9123191971420774,1.8462569224449905,1.6818961295292916,nn
mlp_vbll,0.25924797626391993,1.0,0.14953605151528473,0.7905232078153693,1.6130072116361909,1.6762421621036068,nn
ngboost,0.5538602715837406,1.0,0.35017721749712266,0.8754871750748133,1.9569063682509429,1.7417847777632496,tree
rf,0.5432766459537349,1.0,0.31763915230596784,0.8528276259864082,1.9869247131299304,1.7654430990410435,tree
svm,0.5395172530243206,1.0,0.310295692794807,0.8703704390217875,1.999520027193114,1.7721369917791978,other
xgboost,0.5501826289433962,1.0,0.36612433984813225,0.8994563604870672,1.9836706024368913,1.7614555023751186,tree
