,Gaussian,Threshold,Heteroscedastic,Value-Prop.,Quantile,Outlier
GP,,,,,,
NGBoost,0.022990262650388,0.0233135160129215,0.052195981862401,0.0316985495053668,0.2413276088027699,0.2097739140671316
QRF,0.0174742387323839,-0.0083978008008952,0.0213950142936049,0.031447701145877,0.1806777060980373,0.2894257980010111
BNN-α,-0.0665628785628785,0.0318026478026478,-0.009023313023313,,0.1295507855507855,0.4847786207786208
BNN-β,-0.0437597357597357,0.0079612519612519,-0.0159933399933399,-0.011059199059199,0.2072330192330192,0.3625610545610546
VBLL-α,0.0207552687552687,0.0225718425718425,0.0563086523086523,0.0061868821868821,0.191049839049839,0.3415053055053055
VBLL-β,0.02801038001038,-0.0077825717825717,0.0593264033264033,0.0099369219369219,0.1577464937464937,0.2166558366558366
