Model,Rep,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,Heteroscedastic,Ext. Mean
LightGBM,MHG-GNN,-0.3552582840849045,-0.11977006036430643,-0.31152116862100654,-0.6996734686949714,-0.6227741251309669,-0.1944815991122593,-0.4269705201560203
SVM,SNS,-0.3556232233769808,-0.1025444249314749,-0.2879975716261067,-0.6965646100364945,,,-0.13759700474170386
VBLL-α,ECFP4,-0.3565941070065354,-0.13999335007234057,-0.3357547545071804,-0.6440934885631908,-0.5746328873465759,-0.19348721522273438,
BNN-α,SMILES,-0.3567619854753668,-0.12285566438328142,-0.33707750548015947,-0.6708452484824441,-0.593269860202616,-0.20272490978240965,
RF,PDV,-0.35859244478463015,-0.1156128925738835,-0.3040228116533356,-0.7101382983744733,-0.632186711751575,-0.19575160214857468,-0.24979748560136508
VBLL-α,PDV,-0.35873245813629845,-0.11520381393757738,-0.30016303640423403,-0.6875648721299993,-0.614045169136741,-0.19674689932303,
NN-β,PDV,-0.36116503151980317,-0.1382343999063125,-0.344934772903269,-0.7166000989350405,-0.6509190031288333,-0.2064068284815696,
NN-α,PDV,-0.3626742390069095,-0.13327454436909072,-0.32672307816418733,-0.6965822165662592,-0.6287946623082113,-0.20037870741251745,
RF,PDV,-0.3640939315163248,-0.11651304966928272,-0.3125445791390491,-0.7289409787303882,-0.6418485130066895,-0.19604432792793103,
SVM,PDV,-0.3642260428871069,-0.10723412559682255,-0.2954063104504824,-0.7092581909134179,-0.6306479539826058,-0.20190926087131084,
LightGBM,PDV,-0.3646409126287812,-0.12528794664255785,-0.32339751122615307,-0.7200741743727082,-0.6404413128548808,-0.20085830716103717,-0.3987530463831759
BNN-β,SMILES,-0.3650299738753926,-0.11694073460318831,-0.336506368897178,-0.6795568921349265,-0.6107773771791748,-0.19867893349040636,
BNN-α,ECFP4,-0.3664963351355659,-0.12257038210377551,-0.33960853062494833,-0.68350377462127,-0.6157826392036497,-0.21154733679511334,
XGBoost,PDV,-0.3674731000505313,-0.13466062316990862,-0.32532039049899936,-0.7236123204833329,-0.6465893136732506,-0.20302409915008937,-0.6516519611934802
BNN-α,PDV,-0.3783638592922326,-0.1492919605789763,-0.35204838833423574,-0.7151010488620912,-0.6449799369681966,-0.2123077351336527,
VBLL-α,PDV,-0.3797849039236704,-0.156240463256836,-0.35001129417708426,-0.6767989155921069,-0.6018884615464644,-0.21688544476273083,
BNN-β,PDV,-0.38181345732224103,-0.14906136152720215,-0.35501007010238345,-0.7232302622361617,-0.6500786868008701,-0.21302072237236325,
VBLL-β,PDV,-0.38787906934516597,-0.13691758730194786,-0.3403217275335331,-0.7028206430902384,-0.6400166820396076,-0.2262786041606556,
BNN-β,ECFP4,-0.3880637768543127,-0.12850156859918072,-0.35065010677684433,-0.6983552520925348,-0.6277715940238078,-0.2172386420796616,
BNN-α,SNS,-0.38934557979757134,-0.125842944058505,-0.364197809045965,-0.7471914865753868,-0.6711110391400077,-0.22283472033462137,
NN-α,PDV,-0.40732365948125226,-0.15794563916596496,-0.36807276221236795,-0.7659042561295056,-0.6848496101119301,-0.23113491420794005,
BNN-β,SNS,-0.4108478253537959,-0.14183557900515467,-0.3385771469636398,-0.7738174519755625,-0.6882767714033224,-0.22857642095498373,
BNN-β,MORGAN,-0.41571420166227546,-0.12457750159682648,-0.35600220428572754,-0.8161833947355097,-0.7251299439656614,-0.2256421872461685,
NN-α,R-SMILES,-0.4209716210268104,-0.13266073013796953,-0.35089051023577195,-0.8463319140853304,,,
NN-α,ECFP4,-0.4263429695909674,-0.13052093874324447,-0.3591562845490196,-0.8291493470620627,-0.7461199368340801,-0.2412531068981296,-0.5599566624018609
NN-α,MORGAN,-0.43389331571983564,-0.14074280394448171,-0.3700389905409379,-0.8167862732001026,-0.7340456816283139,-0.2490467891548619,
NN-α,SMILES,-0.4415021722966975,-0.14246021617542615,-0.3818309128284454,-0.875160593878139,-0.7689921173182399,-0.23842749192257118,
NN-β,MORGAN,-0.44459322582591654,-0.1438474167477001,-0.3851437015966934,-0.8367887751622635,-0.7573300813785708,-0.2528621250932867,
NN-β,MHG-GNN,-0.4592563006010923,-0.19823787796376932,-0.474060021205382,-0.7968105500394648,-0.7199800798989305,-0.22544959024949507,
NN-β,ECFP4,-0.46432413892312485,-0.13383739590644841,-0.3879944499092872,-0.9183117097074337,-0.8083924289905664,-0.2605673943354626,
NN-α,SNS,-0.4650858754461462,-0.16174326430667532,-0.4314731993458488,-0.9065206180919301,-0.8090792005712335,-0.2552070451053706,-0.4127702857219553
NN-α,MHG-GNN,-0.4706244354898279,-0.13958721269260752,-0.5033172981305557,-0.763705418326638,-0.6905819385942786,-0.21161894093860284,-0.261112131659126
NN-β,PDV,-0.48746727542443724,-0.16504490483890885,-0.42261123855908717,-0.8789227333935825,-0.786398104968525,-0.2626945887551163,
NN-β,SNS,-0.48890489394014536,-0.18408308679407287,-0.45253696116534153,-0.9905407461253082,-0.8734862713651224,-0.288738030436063,
NN-β,R-SMILES,-0.5249239684204864,-0.13615461792608707,-0.409388176058278,-1.011723055080934,,,
NN-β,SMILES,-0.5584089376709679,-0.15566763010891999,-0.458867172761397,-1.1241493804888292,-0.9787702533331784,-0.3190908715580449,
