,cont. PDV,PDV,Topological,SNS,Morgan,SMILES,Mol2vec,MHG-GNN
GP,,0.064831252695373,-0.0152474672474672,-0.0360813248390326,0.042849712965654,,,
NGBoost,0.2097739140671316,0.205311428788415,0.2494069143713297,0.2028970342423916,0.2318801051483889,,,
QRF,0.2894257980010111,0.2260858285202988,0.0957844986465591,0.1058499446131922,0.0755318564382387,,,
BNN-α,0.4847786207786208,0.1369595316302312,0.1758928805162243,0.2326126756648819,0.1228888572876812,0.1037786634256546,-0.101818129914086,0.0476265368697655
BNN-β,0.3625610545610546,0.2495331493653728,0.2026612993617016,0.283205216823826,0.1642588808205021,0.1697633862331989,0.076469540343587,0.0069391684051535
VBLL-α,0.3415053055053055,0.1634875188506004,0.3242859710203168,,,0.1683515940005462,0.052855917243291,0.0112309654232049
VBLL-β,0.2166558366558366,0.1697779076729446,0.2696914798947145,,,0.1520775417710565,0.0209920961447776,0.0184901162941416
