sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function
0.0,0,flexible_dnn_256_128,mol2vec,10000,0.6244062185287476,0.5837314128875732,0.7640231756220313,0.4848704934120178,0.81167626,cli,mse
0.0,1,flexible_dnn_256_128,mol2vec,10000,0.4666016399860382,0.3564823269844055,0.5970614097263409,0.678138792514801,0.88358986,cli,mse
0.0,2,flexible_dnn_256_128,mol2vec,10000,0.5023623108863831,0.4088534116744995,0.6394164618419669,0.6289301514625549,0.87038493,cli,mse
0.0,3,flexible_dnn_256_128,mol2vec,10000,0.4093322157859802,0.30500245094299316,0.5522702698344292,0.7198201417922974,0.89474934,cli,mse
0.0,4,flexible_dnn_256_128,mol2vec,10000,0.41968274116516113,0.2870701551437378,0.5357892824084276,0.7408760190010071,0.90822494,cli,mse
0.0,5,flexible_dnn_256_128,mol2vec,10000,0.4446212351322174,0.31463000178337097,0.5609188905567105,0.7292537093162537,0.894127,cli,mse
0.0,6,flexible_dnn_256_128,mol2vec,10000,0.5017766952514648,0.42141082882881165,0.6491616353642686,0.6074644327163696,0.85159004,cli,mse
0.0,7,flexible_dnn_256_128,mol2vec,10000,0.45825037360191345,0.35542425513267517,0.5961746850820447,0.7051438093185425,0.8996995,cli,mse
0.0,8,flexible_dnn_256_128,mol2vec,10000,0.44223859906196594,0.31670182943344116,0.5627626759420361,0.6924731731414795,0.8652799,cli,mse
0.0,9,flexible_dnn_256_128,mol2vec,10000,0.3781481981277466,0.23712359368801117,0.48695337937836636,0.782413125038147,0.90458924,cli,mse
0.1,0,flexible_dnn_256_128,mol2vec,10000,0.5315001606941223,0.45478034019470215,0.6743740358248546,0.5950005054473877,0.8289732,cli,mse
0.1,1,flexible_dnn_256_128,mol2vec,10000,0.42865660786628723,0.29615578055381775,0.544201966694184,0.7300306558609009,0.89629436,cli,mse
0.1,3,flexible_dnn_256_128,mol2vec,10000,0.46029162406921387,0.3658163547515869,0.6048275413302431,0.6662625670433044,0.871768,cli,mse
0.1,4,flexible_dnn_256_128,mol2vec,10000,0.4059421420097351,0.2678600251674652,0.5175519540755935,0.7621756792068481,0.9028702,cli,mse
0.1,5,flexible_dnn_256_128,mol2vec,10000,0.4107477366924286,0.2827599346637726,0.53175176037675,0.7542073130607605,0.9069621,cli,mse
0.1,6,flexible_dnn_256_128,mol2vec,10000,0.4600047469139099,0.3638221025466919,0.6031766760632343,0.6611833572387695,0.8749272,cli,mse
0.1,7,flexible_dnn_256_128,mol2vec,10000,0.41720885038375854,0.31397607922554016,0.5603356844120676,0.740173876285553,0.9040791,cli,mse
