dataset,representation,target,replicate,level,condition,family,model,n_train,n_test,label_sd,target_dose,realised_dose,dose_used,dose_mode,unit_dose_g,affected_molecule_fraction,n_noise_groups,largest_group_share,noise_seed,r2,r2_clean
QM9,PDV,homo_lumo_gap,3,1.5,Gaussian,reference,DNN,3200,800,1.2861454093472788,1.5,1.4799245418165474,1.4799245418165474,algebraic,1.0,0.0,1212,0.0865625,60315,0.6532273869918117,0.8775654185928226
QM9,PDV,homo_lumo_gap,3,1.5,Grouped shifted,structure-keyed,DNN,3200,800,1.2861454093472788,1.5,1.4631224596518948,1.4631224596518948,algebraic,1.0,1.0,1212,0.0865625,60315,0.25996385968640956,0.8775654185928226
QM9,PDV,homo_lumo_gap,4,0.5,Gaussian,reference,DNN,3199,801,1.3140756102057574,0.5,0.5022318925135888,0.5022318925135888,algebraic,1.0,0.0,1508,0.0315723663644889,60405,0.8756570746021611,0.9201965206199485
QM9,PDV,homo_lumo_gap,4,0.5,Grouped shifted,structure-keyed,DNN,3199,801,1.3140756102057574,0.5,0.4882889502225018,0.4882889502225018,algebraic,1.0,1.0,1508,0.0315723663644889,60405,0.8880273513296975,0.9201965206199485
QM9,PDV,homo_lumo_gap,4,1.0,Gaussian,reference,DNN,3199,801,1.3140756102057574,1.0,0.9978893586710067,0.9978893586710067,algebraic,1.0,0.0,1508,0.0315723663644889,60410,0.8210276868724274,0.9201965206199485
QM9,PDV,homo_lumo_gap,4,1.0,Grouped shifted,structure-keyed,DNN,3199,801,1.3140756102057574,1.0,1.0167599935765885,1.0167599935765885,algebraic,1.0,1.0,1508,0.0315723663644889,60410,0.6824640661819615,0.9201965206199485
QM9,PDV,homo_lumo_gap,4,1.5,Gaussian,reference,DNN,3199,801,1.3140756102057574,1.5,1.5302342323919613,1.5302342323919613,algebraic,1.0,0.0,1508,0.0315723663644889,60415,0.8085174311545307,0.9201965206199485
QM9,PDV,homo_lumo_gap,4,1.5,Grouped shifted,structure-keyed,DNN,3199,801,1.3140756102057574,1.5,1.5041104261527836,1.5041104261527836,algebraic,1.0,1.0,1508,0.0315723663644889,60415,0.7343886105464023,0.9201965206199485
QM9,PDV,homo_lumo_gap,5,0.5,Gaussian,reference,DNN,3200,800,1.305599787788693,0.5,0.4927677661865978,0.4927677661865978,algebraic,1.0,0.0,1218,0.0753125,60505,0.8280970478553681,0.8566486342310159
QM9,PDV,homo_lumo_gap,5,0.5,Grouped shifted,structure-keyed,DNN,3200,800,1.305599787788693,0.5,0.48104833777650413,0.48104833777650413,algebraic,1.0,1.0,1218,0.0753125,60505,0.7917332577076963,0.8566486342310159
QM9,PDV,homo_lumo_gap,5,1.0,Gaussian,reference,DNN,3200,800,1.305599787788693,1.0,0.9903869617071732,0.9903869617071732,algebraic,1.0,0.0,1218,0.0753125,60510,0.7611479430580448,0.8566486342310159
QM9,PDV,homo_lumo_gap,5,1.0,Grouped shifted,structure-keyed,DNN,3200,800,1.305599787788693,1.0,0.9978644638722057,0.9978644638722057,algebraic,1.0,1.0,1218,0.0753125,60510,0.6509038686480159,0.8566486342310159
QM9,PDV,homo_lumo_gap,5,1.5,Gaussian,reference,DNN,3200,800,1.305599787788693,1.5,1.4933895556902408,1.4933895556902408,algebraic,1.0,0.0,1218,0.0753125,60515,0.7502199299667622,0.8566486342310159
QM9,PDV,homo_lumo_gap,5,1.5,Grouped shifted,structure-keyed,DNN,3200,800,1.305599787788693,1.5,1.538832802429868,1.538832802429868,algebraic,1.0,1.0,1218,0.0753125,60515,0.12157253780439581,0.8566486342310159
QM9,PDV,homo_lumo_gap,6,0.5,Gaussian,reference,DNN,3119,881,1.2679742149352466,0.5,0.48700183381983575,0.48700183381983575,algebraic,1.0,0.0,1284,0.08303943571657582,60605,0.8684458241927316,0.906966967606007
QM9,PDV,homo_lumo_gap,6,0.5,Grouped shifted,structure-keyed,DNN,3119,881,1.2679742149352466,0.5,0.48586857769097824,0.48586857769097824,algebraic,1.0,1.0,1284,0.08303943571657582,60605,0.8737388270981251,0.906966967606007
QM9,PDV,homo_lumo_gap,6,1.0,Gaussian,reference,DNN,3119,881,1.2679742149352466,1.0,1.0087426087758866,1.0087426087758866,algebraic,1.0,0.0,1284,0.08303943571657582,60610,0.8335217910743221,0.906966967606007
QM9,PDV,homo_lumo_gap,6,1.0,Grouped shifted,structure-keyed,DNN,3119,881,1.2679742149352466,1.0,1.0156922212828603,1.0156922212828603,algebraic,1.0,1.0,1284,0.08303943571657582,60610,0.6987092768797728,0.906966967606007
QM9,PDV,homo_lumo_gap,6,1.5,Gaussian,reference,DNN,3119,881,1.2679742149352466,1.5,1.4789144813840622,1.4789144813840622,algebraic,1.0,0.0,1284,0.08303943571657582,60615,0.7647943928996239,0.906966967606007
QM9,PDV,homo_lumo_gap,6,1.5,Grouped shifted,structure-keyed,DNN,3119,881,1.2679742149352466,1.5,1.4642770201986834,1.4642770201986834,algebraic,1.0,1.0,1284,0.08303943571657582,60615,0.3627875247531549,0.906966967606007
QM9,PDV,homo_lumo_gap,7,0.5,Gaussian,reference,DNN,3199,801,1.249293127931134,0.5,0.4997121821141412,0.4997121821141412,algebraic,1.0,0.0,1226,0.08252578930915912,60705,0.8560476762782456,0.897653650828621
QM9,PDV,homo_lumo_gap,7,0.5,Grouped shifted,structure-keyed,DNN,3199,801,1.249293127931134,0.5,0.46258059661063844,0.46258059661063844,algebraic,1.0,1.0,1226,0.08252578930915912,60705,0.837242042118076,0.897653650828621
QM9,PDV,homo_lumo_gap,7,1.0,Gaussian,reference,DNN,3199,801,1.249293127931134,1.0,0.9898664898824145,0.9898664898824145,algebraic,1.0,0.0,1226,0.08252578930915912,60710,0.7992022158093622,0.897653650828621
QM9,PDV,homo_lumo_gap,7,1.0,Grouped shifted,structure-keyed,DNN,3199,801,1.249293127931134,1.0,0.9796194947460121,0.9796194947460121,algebraic,1.0,1.0,1226,0.08252578930915912,60710,0.7165923227767224,0.897653650828621
QM9,PDV,homo_lumo_gap,7,1.5,Gaussian,reference,DNN,3199,801,1.249293127931134,1.5,1.4960956560847396,1.4960956560847396,algebraic,1.0,0.0,1226,0.08252578930915912,60715,0.7986884634768355,0.897653650828621
QM9,PDV,homo_lumo_gap,7,1.5,Grouped shifted,structure-keyed,DNN,3199,801,1.249293127931134,1.5,1.5749704432115832,1.5749704432115832,algebraic,1.0,1.0,1226,0.08252578930915912,60715,0.17508070484708038,0.897653650828621
