model,rep,strategy,n_iterations,n_sigmas
dnn_bnn_variational,pdv,legacy,10,11
dnn_bnn_variational,pdv,outlier,10,11
dnn_bnn_variational,pdv,quantile,10,11
dnn_bnn_variational,pdv,threshold,10,11
dnn_bnn_variational,pdv,valprop,9,11
dnn_bnn_variational,smiles,hetero,10,11
dnn_bnn_variational,smiles,legacy,10,11
dnn_bnn_variational,smiles,outlier,10,11
dnn_bnn_variational,smiles,quantile,10,11
dnn_bnn_variational,smiles,threshold,10,11
dnn_bnn_variational,smiles,valprop,10,11
flexible_dnn,ecfp4,hetero,10,11
flexible_dnn,ecfp4,legacy,10,11
flexible_dnn,ecfp4,outlier,10,11
flexible_dnn,ecfp4,quantile,10,11
flexible_dnn,ecfp4,threshold,10,11
flexible_dnn,ecfp4,valprop,10,11
flexible_dnn,mhggnn,hetero,9,11
flexible_dnn,mhggnn,legacy,10,11
flexible_dnn,mhggnn,outlier,10,11
flexible_dnn,mhggnn,quantile,10,11
flexible_dnn,mhggnn,threshold,10,11
flexible_dnn,mhggnn,valprop,10,11
flexible_dnn,mol2vec,hetero,10,11
flexible_dnn,mol2vec,legacy,10,11
flexible_dnn,mol2vec,outlier,10,11
flexible_dnn,mol2vec,quantile,10,11
flexible_dnn,mol2vec,threshold,10,11
flexible_dnn,mol2vec,valprop,9,11
flexible_dnn,pdv,hetero,10,11
flexible_dnn,pdv,legacy,10,11
flexible_dnn,pdv,outlier,10,11
flexible_dnn,pdv,quantile,10,11
flexible_dnn,pdv,threshold,10,11
flexible_dnn,pdv,valprop,10,11
flexible_dnn,smiles,hetero,10,11
flexible_dnn,smiles,legacy,10,11
flexible_dnn,smiles,outlier,10,11
flexible_dnn,smiles,quantile,10,11
flexible_dnn,smiles,threshold,10,11
flexible_dnn,smiles,valprop,10,11
flexible_dnn_256_128_64,ecfp4,hetero,10,11
flexible_dnn_256_128_64,ecfp4,legacy,10,11
flexible_dnn_256_128_64,ecfp4,outlier,10,11
flexible_dnn_256_128_64,ecfp4,quantile,10,11
flexible_dnn_256_128_64,ecfp4,threshold,10,11
flexible_dnn_256_128_64,ecfp4,valprop,10,11
flexible_dnn_256_128_64,mhggnn,hetero,9,11
flexible_dnn_256_128_64,mhggnn,legacy,10,11
flexible_dnn_256_128_64,mhggnn,outlier,10,11
flexible_dnn_256_128_64,mhggnn,quantile,10,11
flexible_dnn_256_128_64,mhggnn,threshold,10,11
flexible_dnn_256_128_64,mhggnn,valprop,10,11
flexible_dnn_256_128_64,mol2vec,hetero,10,11
flexible_dnn_256_128_64,mol2vec,legacy,10,11
flexible_dnn_256_128_64,mol2vec,outlier,10,11
flexible_dnn_256_128_64,mol2vec,quantile,9,11
flexible_dnn_256_128_64,mol2vec,threshold,10,11
flexible_dnn_256_128_64,mol2vec,valprop,10,11
flexible_dnn_256_128_64,pdv,hetero,10,11
flexible_dnn_256_128_64,pdv,legacy,10,11
flexible_dnn_256_128_64,pdv,outlier,9,11
flexible_dnn_256_128_64,pdv,quantile,10,11
flexible_dnn_256_128_64,pdv,threshold,10,11
flexible_dnn_256_128_64,pdv,valprop,10,11
flexible_dnn_256_128_64,smiles,hetero,10,11
flexible_dnn_256_128_64,smiles,legacy,10,11
flexible_dnn_256_128_64,smiles,outlier,10,11
flexible_dnn_256_128_64,smiles,quantile,10,11
flexible_dnn_256_128_64,smiles,threshold,10,11
flexible_dnn_256_128_64,smiles,valprop,10,11
flexible_dnn_512_256,ecfp4,hetero,10,11
flexible_dnn_512_256,ecfp4,legacy,10,11
flexible_dnn_512_256,ecfp4,outlier,10,11
flexible_dnn_512_256,ecfp4,quantile,10,11
flexible_dnn_512_256,ecfp4,threshold,10,11
flexible_dnn_512_256,ecfp4,valprop,10,11
flexible_dnn_512_256,mhggnn,hetero,10,11
flexible_dnn_512_256,mhggnn,legacy,10,11
flexible_dnn_512_256,mhggnn,outlier,10,11
flexible_dnn_512_256,mhggnn,quantile,10,11
flexible_dnn_512_256,mhggnn,threshold,10,11
flexible_dnn_512_256,mhggnn,valprop,10,11
flexible_dnn_512_256,mol2vec,hetero,9,11
flexible_dnn_512_256,mol2vec,legacy,10,11
flexible_dnn_512_256,mol2vec,outlier,8,11
flexible_dnn_512_256,mol2vec,quantile,10,11
flexible_dnn_512_256,mol2vec,threshold,9,11
flexible_dnn_512_256,mol2vec,valprop,10,11
flexible_dnn_512_256,pdv,hetero,10,11
flexible_dnn_512_256,pdv,legacy,10,11
flexible_dnn_512_256,pdv,outlier,10,11
flexible_dnn_512_256,pdv,quantile,10,11
flexible_dnn_512_256,pdv,threshold,10,11
flexible_dnn_512_256,pdv,valprop,10,11
flexible_dnn_512_256,smiles,hetero,10,11
flexible_dnn_512_256,smiles,legacy,10,11
flexible_dnn_512_256,smiles,outlier,10,11
flexible_dnn_512_256,smiles,quantile,10,11
