frac_beyond_3_tau,share_on_worst_5pct,share_of_variance_on_worst_5pct,median_abs_error,skewness,mean_shift,level,condition,family,realised_dose,replicate,unit_dose_g,affected_molecule_fraction,dose_mode
0.0031259768677711786,45.44091888788795,0.2919140004771909,0.45104256254806735,0.007332275120984577,0.012703739948668937,0.5,Gaussian,reference,0.4950962218339133,0,1.0,0.0,algebraic
0.0087527352297593,52.03381398946254,0.340952355306054,0.41176374276553734,-0.06967864337759166,-0.02057565277668194,0.5,Student-t nu=10,heavy tail,0.5062211758860653,0,1.118033988749895,0.0,algebraic
0.01312910284463895,61.9447906797235,0.4212215121373634,0.3734960114049526,-0.11190182112185147,-0.00866111133225724,0.5,Student-t nu=5,heavy tail,0.5147602797672426,0,1.2909944487358056,0.0,algebraic
0.016880275085964364,71.45152050706174,0.6180523241705248,0.29493134989017505,-1.424243075105,-0.010036468087343106,0.5,Student-t nu=3,heavy tail,0.5308597651814488,0,1.7320508075688772,0.0,algebraic
0.012816505157861832,61.66749298498715,0.40468113063275873,0.32962667110223914,-0.06913409362744985,0.0011271975219104785,0.5,Laplace,heavy tail,0.4956895639954332,0,1.4142135623730951,0.0,algebraic
0.006564551422319475,47.99787518523796,0.333159646864483,0.4413944757883881,0.1985629375264034,-0.017056469602634947,0.5,Outlier p=0.01,contamination,0.5093287112821226,0,1.0464366663970848,0.011878712097530478,algebraic
0.013754298218193186,59.27107892289717,0.4268430255942294,0.40011240034696055,-0.09159099877883914,-0.017110503122556745,0.5,Outlier p=0.05,contamination,0.5067363977708159,0,1.1927414105843157,0.052829009065332916,algebraic
0.02000625195373554,71.31531634217676,0.49152215789837655,0.3618842738732109,-0.05054415145298701,-0.01672274102998131,0.5,Outlier p=0.10,contamination,0.5089767497366887,0,1.3703190520715045,0.10972178805876837,algebraic
0.018443263519849953,73.1242236322642,0.5006077861104191,0.3286860185488457,-0.10485611955791214,0.006364376396374801,0.5,Grouped wider,structure-keyed,0.49420296073932674,0,1.6126066340862062,0.20006251953735543,algebraic
0.005626758361988122,43.992862263247346,0.2788410482249928,0.5093071333766289,-0.33080450913505355,-0.04864548389138242,0.5,Grouped shifted,structure-keyed,0.5664926096867223,0,1.0,1.0,algebraic
0.019381056580181306,72.73420475695137,0.510443860861994,0.41956995594962715,2.109775350598624,-0.0023318486777270243,0.5,Skewed draw,asymmetric,0.5004691810049561,0,1.0,0.0,algebraic
0.0009377930603313535,44.003032679795226,0.2800752966016504,1.3218325318864348,0.05976676076567515,-0.0015147787016135622,1.5,Gaussian,reference,1.4838552495257629,0,1.0,0.0,algebraic
0.006564551422319475,51.49326051062741,0.3356912112431753,1.1723065188576929,0.18557015524856008,-0.03457062146247947,1.5,Student-t nu=10,heavy tail,1.444621434384285,0,1.118033988749895,0.0,algebraic
0.011253516723976243,59.41584389450626,0.40090414758764026,1.0869992708867806,0.3030426964917437,-0.013278171175281477,1.5,Student-t nu=5,heavy tail,1.4597110779400528,0,1.2909944487358056,0.0,algebraic
0.012503907471084715,70.22423144733546,0.5626516392723524,0.8544424633433915,1.3546772590241605,0.0027737989784110033,1.5,Student-t nu=3,heavy tail,1.4539054698396794,0,1.7320508075688772,0.0,algebraic
0.01469209127852454,62.6074242054963,0.40876973449571746,0.9841556366590882,-0.0019178431676530985,-0.029262106843897094,1.5,Laplace,heavy tail,1.476958407124585,0,1.4142135623730951,0.0,algebraic
0.004688965301656768,47.232239395176784,0.30815081643848735,1.293848893155286,0.08286267313558654,0.025812293885203338,1.5,Outlier p=0.01,contamination,1.4960365022228306,0,1.0428457950711567,0.010940919037199124,algebraic
0.013754298218193186,59.41650719343363,0.421773103534993,1.1697106171365117,-0.24132838842192209,0.00928035877944344,1.5,Outlier p=0.05,contamination,1.5240969394641324,0,1.1800943583426116,0.0490778368240075,algebraic
0.018130665833072834,66.83479485233111,0.4635946186494194,1.0723243183101518,-0.05776348507365908,0.014056923706460238,1.5,Outlier p=0.10,contamination,1.492785807859478,0,1.3491687552352956,0.10253204126289465,algebraic
0.018755861206627072,73.9740115424325,0.4922409859410998,0.9726190432828641,0.18728063905295117,0.009991375325036078,1.5,Grouped wider,structure-keyed,1.45650855768322,0,1.6126066340862062,0.20006251953735543,algebraic
0.0015629884338855893,39.38211553240762,0.2493289768838096,1.493346235771844,0.04976520713891032,0.16758537381147828,1.5,Grouped shifted,structure-keyed,1.5717248229010399,0,1.0,1.0,algebraic
0.015004688965301657,69.4995141592637,0.4741469860089267,1.264206565255832,1.81496059812053,-0.016355203797592314,1.5,Skewed draw,asymmetric,1.455464331380701,0,1.0,0.0,algebraic
0.0015629884338855893,44.00303267979521,0.2800752966016505,1.33621443093141,0.059766760765674984,-0.001531259907694167,1.5,Gaussian,reference,1.4838552495257629,0,1.0,0.0,exact
