model,from_rep,applied_to,noise_seed,r2,seconds,status,detail
qm9,mlp_bnn_full,pdv,pdv,0,0.7398305013059553,19.0,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.175, ""lr"": 0.0018679656620337437}"
qm9,mlp_bnn_full,chemberta,pdv,0,0.8270983317801971,25.0,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.414, ""lr"": 0.005151500958133726}"
qm9,mlp_bnn_full,ecfp4,pdv,0,0.6324609550325535,16.2,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 3, ""dropout_rate"": 0.493, ""lr"": 0.0051361233116248295}"
qm9,mlp_bnn_full,avalon,pdv,0,0.7871633738262676,23.8,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.136, ""lr"": 0.001181874895585407}"
qm9,mlp_bnn_full,mhggnn,pdv,0,0.8700295362292262,24.2,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 1, ""dropout_rate"": 0.379, ""lr"": 0.004285944143830873}"
qm9,mlp_bnn_full,sns,pdv,0,0.8022918658157621,46.4,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 4, ""dropout_rate"": 0.104, ""lr"": 0.006033573786938741}"
qm9,mlp_bnn_full,DEFAULT,pdv,0,0.5935919762740968,21.6,ok,{}
qm9,mlp_bnn_full,pdv,chemberta,0,0.7562120299935564,51.3,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.175, ""lr"": 0.0018679656620337437}"
qm9,mlp_bnn_full,chemberta,chemberta,0,0.7580196684114014,22.8,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.414, ""lr"": 0.005151500958133726}"
qm9,mlp_bnn_full,ecfp4,chemberta,0,0.217398134537807,29.7,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 3, ""dropout_rate"": 0.493, ""lr"": 0.0051361233116248295}"
qm9,mlp_bnn_full,avalon,chemberta,0,0.7346881049603983,27.8,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.136, ""lr"": 0.001181874895585407}"
qm9,mlp_bnn_full,mhggnn,chemberta,0,0.8020514409511744,28.6,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 1, ""dropout_rate"": 0.379, ""lr"": 0.004285944143830873}"
qm9,mlp_bnn_full,sns,chemberta,0,0.7320555022672057,63.5,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 4, ""dropout_rate"": 0.104, ""lr"": 0.006033573786938741}"
qm9,mlp_bnn_full,DEFAULT,chemberta,0,0.7332569005118152,103.8,ok,{}
qm9,mlp_bnn_full,pdv,ecfp4,0,0.644120265198184,74.0,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.175, ""lr"": 0.0018679656620337437}"
qm9,mlp_bnn_full,chemberta,ecfp4,0,0.6723102834628505,61.3,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.414, ""lr"": 0.005151500958133726}"
