sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function,spec_version,spec_hash,gp_fit_method,gp_collapsed,noise_type,level_units,delivered_dose,file_no
0.0,0,lgb,avalon,10000,0.2933559044695948,0.16686721303975482,0.4084938347634574,0.8836717647252069,0.9402108715558205,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,lgb,chemberta,10000,0.4030120838528568,0.2788342880723205,0.5280476191332752,0.8056160939307554,0.8990398626939347,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,lgb,sns,10000,0.30480346211925835,0.16489536325823528,0.406073100879922,0.885046401486573,0.9409892706203005,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,svm,ecfp4,10000,0.3645594556154032,0.2392119657157483,0.4890930031351382,0.8332380260842631,0.9132821477144853,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,svm,continuous_pdv,10000,0.2920812046818593,0.16953298422827096,0.4117438332607678,0.8818133741381202,0.9391340873657498,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,svm,mhggnn,10000,0.3086396000037065,0.17776208131457852,0.42161840722930793,0.8760766189990082,0.9361691445348629,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,svm,avalon,10000,0.3118276568829645,0.18377766447106586,0.42869297226694286,0.8718829720866204,0.9339488278608067,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,svm,chemberta,10000,0.34498724687535887,0.217734038596082,0.46661980090442157,0.8482109456511294,0.9216229005947647,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,svm,sns,10000,0.3075347759694145,0.1699452316710749,0.41224414085718053,0.8815259838435001,0.9389813176688959,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,ngboost,ecfp4,10000,0.4968236051000399,0.41978134890088914,0.6479053548944391,0.7073575891311933,0.8477588862676753,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,ngboost,continuous_pdv,10000,0.3570264510563602,0.21912507154459304,0.4681079699648288,0.8472412140593947,0.9214081473744357,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,ngboost,mhggnn,10000,0.3824433496729939,0.24922665856863074,0.49922605958486455,0.8262564775513146,0.9102467986110727,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,ngboost,avalon,10000,0.40502302893663866,0.29097800723251577,0.539423773329018,0.797150336075486,0.8972271177918695,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,ngboost,chemberta,10000,0.4654224143577299,0.36405969097597035,0.6033735915467053,0.7462028602597235,0.8689900969730294,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,ngboost,sns,10000,0.4471568584682987,0.3359645174686838,0.5796244624484751,0.7657888645700078,0.8820814187569352,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,dnn,ecfp4,10000,0.42065284,0.2903996,0.5388874,0.7975535470744384,0.8961223,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,dnn,continuous_pdv,10000,0.32491037,0.18409663,0.42906484,0.8716606071604169,0.93501216,default,mse,1.3.0,7b7c3372d7be,,,,,,
