model,rep,setting,r2,seconds,status,detail,sample_size,seed,written
rf,ecfp4,default,0.8180675029730041,88.53260711301118,ok,,10000,42,2026-08-27T21:29:13+00:00
rf,continuous_pdv,default,0.8889943355840031,27.049931770015974,ok,,10000,42,2026-08-27T21:29:13+00:00
rf,mhggnn,default,0.8756031609228394,261.0491985300323,ok,,10000,42,2026-08-27T21:29:13+00:00
rf,avalon,default,0.882159022707975,146.14725911302958,ok,,10000,42,2026-08-27T21:29:13+00:00
rf,chemberta,default,0.7775533560052684,376.9462040179642,ok,,10000,42,2026-08-27T21:29:13+00:00
rf,sns,default,0.8713697702751528,64.7480374170118,ok,,10000,42,2026-08-27T21:29:13+00:00
xgboost,ecfp4,default,0.8279760217279781,21.071667600015644,ok,,10000,42,2026-08-27T21:29:13+00:00
xgboost,continuous_pdv,default,0.8860239078661488,11.912827591004316,ok,,10000,42,2026-08-27T21:29:13+00:00
xgboost,mhggnn,default,0.8857752659088313,149.18758776801405,ok,,10000,42,2026-08-27T21:29:13+00:00
xgboost,avalon,default,0.8788940923874006,21.433664940996096,ok,,10000,42,2026-08-27T21:29:13+00:00
xgboost,chemberta,default,0.8054856364940504,111.16167423699517,ok,,10000,42,2026-08-27T21:29:13+00:00
xgboost,sns,default,0.873083607273955,16.304136676015332,ok,,10000,42,2026-08-27T21:29:13+00:00
lgb,ecfp4,default,0.8331739404651699,142.9034614469856,ok,,10000,42,2026-08-27T21:29:13+00:00
lgb,continuous_pdv,default,0.8936787795235749,6.265930080029648,ok,,10000,42,2026-08-27T21:29:13+00:00
lgb,mhggnn,default,0.8887803227871556,74.68443242501235,ok,,10000,42,2026-08-27T21:29:13+00:00
lgb,avalon,default,0.8836717647252069,26.89301170600811,ok,,10000,42,2026-08-27T21:29:13+00:00
lgb,chemberta,default,0.8056160939307554,33.749453332973644,ok,,10000,42,2026-08-27T21:29:13+00:00
lgb,sns,default,0.885046401486573,22.929195927048568,ok,,10000,42,2026-08-27T21:29:13+00:00
svm,ecfp4,default,0.8332380260842631,134.60007979295915,ok,,10000,42,2026-08-27T21:29:13+00:00
svm,continuous_pdv,default,0.8818133741381202,14.894160741008818,ok,,10000,42,2026-08-27T21:29:13+00:00
svm,mhggnn,default,0.8760766189990082,68.8978300630115,ok,,10000,42,2026-08-27T21:29:13+00:00
svm,avalon,default,0.8718829720866204,108.51040759804891,ok,,10000,42,2026-08-27T21:29:13+00:00
svm,chemberta,default,0.8482109456511294,27.14844111702405,ok,,10000,42,2026-08-27T21:29:13+00:00
svm,sns,default,0.8815259838435001,55.49814766703639,ok,,10000,42,2026-08-27T21:29:13+00:00
ngboost,ecfp4,default,0.7073575891311933,569.9344810739858,ok,,10000,42,2026-08-27T21:29:13+00:00
ngboost,continuous_pdv,default,0.8472412140593947,183.86836563801626,ok,,10000,42,2026-08-27T21:29:13+00:00
ngboost,mhggnn,default,0.8262564775513146,2931.416767282004,ok,,10000,42,2026-08-27T21:29:13+00:00
ngboost,avalon,default,0.797150336075486,992.0203174010385,ok,,10000,42,2026-08-27T21:29:13+00:00
ngboost,chemberta,default,0.7462028602597235,5443.4609188659815,ok,,10000,42,2026-08-27T21:29:13+00:00
ngboost,sns,default,0.7657888645700078,516.8329769989941,ok,,10000,42,2026-08-27T21:29:13+00:00
dnn,ecfp4,default,0.7975535470744384,102.57827266602544,ok,,10000,42,2026-08-27T21:29:13+00:00
dnn,continuous_pdv,default,0.8716606071604169,33.07177379098721,ok,,10000,42,2026-08-27T21:29:13+00:00
dnn,mhggnn,default,0.8425105877944173,40.30392044299515,ok,,10000,42,2026-08-27T21:29:13+00:00
dnn,avalon,default,0.8863185708935428,254.30648495600326,ok,,10000,42,2026-08-27T21:29:13+00:00
dnn,chemberta,default,0.8388775043469237,97.55204238201259,ok,,10000,42,2026-08-27T21:29:13+00:00
dnn,sns,default,0.8956902431647816,382.4646009779535,ok,,10000,42,2026-08-27T21:29:13+00:00
mlp,ecfp4,default,0.7912213151497747,372.7030857880018,ok,,10000,42,2026-08-27T21:29:13+00:00
mlp,continuous_pdv,default,0.8777177224272025,71.21757720300229,ok,,10000,42,2026-08-27T21:29:13+00:00
mlp,mhggnn,default,0.8575612971470841,87.72221629798878,ok,,10000,42,2026-08-27T21:29:13+00:00
mlp,avalon,default,0.8508189809688358,301.9422053169692,ok,,10000,42,2026-08-27T21:29:13+00:00
mlp,chemberta,default,0.8340953619691172,83.95931037398987,ok,,10000,42,2026-08-27T21:29:13+00:00
mlp,sns,default,0.8364636692451861,121.09919118398102,ok,,10000,42,2026-08-27T21:29:13+00:00
dnn_bnn_full,ecfp4,default,0.696032284261527,477.3126611490152,ok,,10000,42,2026-08-27T21:29:13+00:00
dnn_bnn_full,continuous_pdv,default,0.8575331760495613,315.416172895988,ok,,10000,42,2026-08-27T21:29:13+00:00
dnn_bnn_full,mhggnn,default,0.7533105372338672,474.29497358901426,ok,,10000,42,2026-08-27T21:29:13+00:00
