strategy,unc_error_rho,coverage_1sig,coverage_2sig,n
legacy,0.17065030892022698,0.660125825933328,0.878655826565393,42
outlier,0.1517631038502492,0.6939367663595222,0.8793070448205382,42
quantile,0.13912657193367797,0.6928032910297095,0.8688453753320622,42
threshold,0.19418842679224896,0.654442053541409,0.8787889413145874,42
valprop,0.17229994316809316,0.6456800578005457,0.8641556751788075,33
hetero,0.13155610419903782,0.6491291700298825,0.8602897792366961,33
