rep,strategy,auc_norm_mean,auc_norm_std,n
continuous_pdv,hetero,0.9109566029132523,0.009601558422011311,11
continuous_pdv,legacy,0.8298179176924545,0.018474069928027925,11
continuous_pdv,outlier,0.9446264050516503,0.008121301043259053,11
continuous_pdv,quantile,0.8504882422311092,0.020001290524162694,11
continuous_pdv,threshold,0.6031721202179577,0.03557285161246818,11
continuous_pdv,valprop,0.665280775699887,0.031065263108535385,11
ecfp4,hetero,0.9076861446176779,0.016263713291081634,11
ecfp4,legacy,0.8254101199396566,0.024034614558148246,11
ecfp4,outlier,0.9446927828236298,0.008740274979029992,11
ecfp4,quantile,0.8467086663403162,0.02049316287606762,11
ecfp4,threshold,0.5892670097632674,0.05277168569372973,11
ecfp4,valprop,0.6545993215667497,0.04604778647765556,11
mhggnn,hetero,0.9065607461646705,0.02542299207531425,7
mhggnn,legacy,0.8102001222708651,0.05903023839347166,7
mhggnn,outlier,0.9398481251407708,0.027265736668045323,7
mhggnn,quantile,0.8334809950581549,0.05547698547900724,7
mhggnn,threshold,0.57910078692819,0.0821696307077804,7
mhggnn,valprop,0.6462162467181545,0.06741214419796503,7
mol2vec,hetero,0.9069795546847871,0.03449099024671807,7
mol2vec,legacy,0.8379564105070495,0.02305422689002618,7
mol2vec,outlier,0.9429432420296749,0.025437875516193816,7
mol2vec,quantile,0.8590408651979181,0.03010015381677333,7
mol2vec,threshold,0.6195223765621815,0.026903999905639926,7
mol2vec,valprop,0.6703180177420881,0.04615229115343045,7
morgan,hetero,0.906623373119835,0.018033224420752364,9
morgan,legacy,0.8337550634277925,0.04657335504078596,9
morgan,outlier,0.9465926786302921,0.0076489765680460495,9
morgan,quantile,0.8451954016700362,0.023697336192986397,9
morgan,threshold,0.5743533699714994,0.06698483159446121,9
morgan,valprop,0.6409779962354006,0.0562636102693301,9
pdv,hetero,0.9169197316854912,0.005821909954311203,11
pdv,legacy,0.8394027488193216,0.011934247540217486,11
pdv,outlier,0.9500001645418333,0.005466978764616581,11
pdv,quantile,0.8624723531183833,0.009358948255960776,11
pdv,threshold,0.6208471935867118,0.018152299634925012,11
pdv,valprop,0.6808216564609922,0.01700970785179467,11
randomized_smiles,legacy,0.7997081851351469,0.06730618434127093,5
randomized_smiles,outlier,0.9365886840856671,0.01519178068528037,5
randomized_smiles,quantile,0.8356307825123348,0.04738447302374003,5
randomized_smiles,threshold,0.5308873825974265,0.1505083409471328,5
smiles,hetero,0.902361769692915,0.02293320030113248,11
smiles,legacy,0.8124585686831938,0.04364235055415105,11
smiles,outlier,0.9443746568161712,0.010013301116268017,11
smiles,quantile,0.8390242278686024,0.03320714416863167,11
smiles,threshold,0.5598098494653581,0.10187091038163291,11
smiles,valprop,0.6313753428776541,0.08490267232720519,11
sns,hetero,0.8958657526517746,0.01888644374788133,5
sns,legacy,0.8189223865738559,0.03737538911174451,9
sns,outlier,0.9445590252013568,0.011928799832463515,9
sns,quantile,0.8429006160003983,0.030764621179052216,9
sns,threshold,0.5784860014846311,0.07345997487987128,9
sns,valprop,0.6108296026340556,0.06589589007833126,5
