kind,level,type,rep,model,dose,r2,base
noise,0.1,Gaussian,0,RF,0.09944077167005906,0.9178635675203599,0.9194864335571435
noise,0.1,Gaussian,0,LGBM,0.09944077167005906,0.9174227680472098,0.9212422032916183
noise,0.1,Gaussian,0,Ridge,0.09944077167005906,0.8958906727983784,0.8973697977890748
noise,0.1,Gaussian,1,RF,0.09915637480899937,0.9195817882200316,0.9194864335571435
noise,0.1,Gaussian,1,LGBM,0.09915637480899937,0.9207128925128633,0.9212422032916183
noise,0.1,Gaussian,1,Ridge,0.09915637480899937,0.8986091378142471,0.8973697977890748
noise,0.1,Gaussian,2,RF,0.09793599073582425,0.917102135536987,0.9194864335571435
noise,0.1,Gaussian,2,LGBM,0.09793599073582425,0.917601566183103,0.9212422032916183
noise,0.1,Gaussian,2,Ridge,0.09793599073582425,0.8998353753482957,0.8973697977890748
noise,0.1,Student-t nu=3,0,RF,0.10118968521959926,0.9208266609411746,0.9194864335571435
noise,0.1,Student-t nu=3,0,LGBM,0.10118968521959926,0.9172253067917013,0.9212422032916183
noise,0.1,Student-t nu=3,0,Ridge,0.10118968521959926,0.8966081687106782,0.8973697977890748
noise,0.1,Student-t nu=3,1,RF,0.09472552442387971,0.9227052296444461,0.9194864335571435
noise,0.1,Student-t nu=3,1,LGBM,0.09472552442387971,0.9228940250776541,0.9212422032916183
noise,0.1,Student-t nu=3,1,Ridge,0.09472552442387971,0.8992020422696296,0.8973697977890748
noise,0.1,Student-t nu=3,2,RF,0.09794348426015029,0.9175980664357337,0.9194864335571435
noise,0.1,Student-t nu=3,2,LGBM,0.09794348426015029,0.9175293680107762,0.9212422032916183
noise,0.1,Student-t nu=3,2,Ridge,0.09794348426015029,0.8972676088752101,0.8973697977890748
noise,0.1,Grouped,0,RF,0.09881805350667237,0.9222106090672894,0.9194864335571435
noise,0.1,Grouped,0,LGBM,0.09881805350667237,0.9231810891685126,0.9212422032916183
noise,0.1,Grouped,0,Ridge,0.09881805350667237,0.8968757084342672,0.8973697977890748
noise,0.1,Grouped,1,RF,0.09781579953308858,0.9206572320584195,0.9194864335571435
noise,0.1,Grouped,1,LGBM,0.09781579953308858,0.9213665277505695,0.9212422032916183
noise,0.1,Grouped,1,Ridge,0.09781579953308858,0.8963824081008089,0.8973697977890748
noise,0.1,Grouped,2,RF,0.0972321842339921,0.9188878819901429,0.9194864335571435
noise,0.1,Grouped,2,LGBM,0.0972321842339921,0.9125817191969454,0.9212422032916183
