method,n_features,baseline_r2_mean,baseline_r2_std,nds_mean,nds_std,nds_pval_mean
binary_gt0,200,0.760385557115,0.001255214340056407,-5.059750250080098,0.7401261207134133,0.014667098908979073
continuous_raw,200,0.7992759720952739,0.0016393337430441737,-5.888490292436082,0.748086038804047,0.013678201679310465
continuous_zscore,200,0.7991713513789601,0.002211090759098194,-5.899384224004945,0.7578648905198428,0.01379027184032378
continuous_minmax,200,0.799350325134056,0.002145139774978494,-5.901295170631495,0.7469800067895456,0.013749995837313626
binary_mean,200,0.7780444238752058,0.001392228514004825,-4.875547236218727,0.6122684509380595,0.014074428989597798
binary_median,200,0.7693720366813945,0.001664059775083975,-5.124810098654791,0.705045273154291,0.013599547586859249
binary_nonzero,200,0.7587962531498972,0.001900418910091305,-4.930087287148053,0.6648155587387116,0.014723960777550607
binary_gt0_no_dead,154,0.7671162793757625,0.0021524635418931205,-5.4719530581264815,0.7510600976560677,0.01499493207600348
