method,iteration,seed,sigma,r2
binary_mean,2,44,0.25,0.09782389050644014
binary_mean,2,44,0.3,-0.19991501982717907
binary_mean,2,44,0.5,-1.8406862303714773
binary_mean,3,45,0.0,0.7769729366836156
binary_mean,3,45,0.2,0.2267472966547054
binary_mean,3,45,0.25,-0.03722530578372485
binary_mean,3,45,0.3,-0.3431173195439967
binary_mean,3,45,0.5,-2.0426260198402018
binary_mean,4,46,0.0,0.7776610917610959
binary_mean,4,46,0.2,0.3192721617797111
binary_mean,4,46,0.25,0.06392733346935553
binary_mean,4,46,0.3,-0.21277168210247566
binary_mean,4,46,0.5,-1.7982276172895841
binary_median,0,42,0.0,0.7713053292022454
binary_median,0,42,0.2,0.3947654577733938
binary_median,0,42,0.25,0.19854104899165625
binary_median,0,42,0.3,-0.0042432576881614725
binary_median,0,42,0.5,-1.2945498106214637
binary_median,1,43,0.0,0.769003735994124
binary_median,1,43,0.2,0.3264250639542198
binary_median,1,43,0.25,0.12620736948496047
binary_median,1,43,0.3,-0.13280938549585608
binary_median,1,43,0.5,-1.5211412845062888
binary_median,2,44,0.0,0.7677931327720342
binary_median,2,44,0.2,0.24766547152653628
binary_median,2,44,0.25,-0.04362174368984739
binary_median,2,44,0.3,-0.3685770361258578
binary_median,2,44,0.5,-2.3055361551891322
binary_median,3,45,0.0,0.7713127940249935
binary_median,3,45,0.2,0.26624176756976936
binary_median,3,45,0.25,0.020062269362028484
binary_median,3,45,0.3,-0.30348576722751797
binary_median,3,45,0.5,-1.9545854859892087
binary_median,4,46,0.0,0.7674451914135761
binary_median,4,46,0.2,0.25660165153997117
binary_median,4,46,0.25,-0.010181792887139274
binary_median,4,46,0.3,-0.2680821769457584
binary_median,4,46,0.5,-1.8880539296199816
binary_nonzero,0,42,0.0,0.7616726303582184
binary_nonzero,0,42,0.2,0.41562172013055865
binary_nonzero,0,42,0.25,0.23902776935279824
binary_nonzero,0,42,0.3,-0.007396410631205663
binary_nonzero,0,42,0.5,-1.2746762708668604
binary_nonzero,1,43,0.0,0.7602191142669437
binary_nonzero,1,43,0.2,0.34110997124549836
binary_nonzero,1,43,0.25,0.12489301402583752
binary_nonzero,1,43,0.3,-0.11013966954346066
binary_nonzero,1,43,0.5,-1.5539310275734595
binary_nonzero,2,44,0.0,0.7576806404620583
binary_nonzero,2,44,0.2,0.2212430263672608
binary_nonzero,2,44,0.25,-0.01903965170244093
binary_nonzero,2,44,0.3,-0.4033899846126696
binary_nonzero,2,44,0.5,-2.2829272272655903
binary_nonzero,3,45,0.0,0.7563536898398081
binary_nonzero,3,45,0.2,0.2822918506870924
binary_nonzero,3,45,0.25,0.05803431718032692
binary_nonzero,3,45,0.3,-0.23011186285398644
binary_nonzero,3,45,0.5,-1.788352220387996
binary_nonzero,4,46,0.0,0.7580551908224576
binary_nonzero,4,46,0.2,0.3200113444393644
binary_nonzero,4,46,0.25,0.0925005919850318
binary_nonzero,4,46,0.3,-0.146451718022806
binary_nonzero,4,46,0.5,-1.6288054230347693
binary_gt0_no_dead,0,42,0.0,0.7684999733395854
binary_gt0_no_dead,0,42,0.2,0.3605998936099698
binary_gt0_no_dead,0,42,0.25,0.1689005172690825
binary_gt0_no_dead,0,42,0.3,-0.0740556963031005
binary_gt0_no_dead,0,42,0.5,-1.6048960400123589
binary_gt0_no_dead,1,43,0.0,0.7644457256486946
binary_gt0_no_dead,1,43,0.2,0.2991878789158815
binary_gt0_no_dead,1,43,0.25,0.06830836187747846
binary_gt0_no_dead,1,43,0.3,-0.18953590243654883
binary_gt0_no_dead,1,43,0.5,-1.6748678377638293
binary_gt0_no_dead,2,44,0.0,0.7645497492449379
binary_gt0_no_dead,2,44,0.2,0.15371355946709686
binary_gt0_no_dead,2,44,0.25,-0.13536966202693934
binary_gt0_no_dead,2,44,0.3,-0.5107121430383517
binary_gt0_no_dead,2,44,0.5,-2.655684475390079
binary_gt0_no_dead,3,45,0.0,0.769274972761291
binary_gt0_no_dead,3,45,0.2,0.27904345733208125
binary_gt0_no_dead,3,45,0.25,0.010204052161043364
binary_gt0_no_dead,3,45,0.3,-0.31014185597849697
binary_gt0_no_dead,3,45,0.5,-2.046902769834164
binary_gt0_no_dead,4,46,0.0,0.7688109758843045
binary_gt0_no_dead,4,46,0.2,0.2846639002960185
binary_gt0_no_dead,4,46,0.25,0.07278097082563195
binary_gt0_no_dead,4,46,0.3,-0.25034432132171713
binary_gt0_no_dead,4,46,0.5,-1.8667457095097557
